Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Matìas Soulé,ar ARG,"AT,LT",20.0,36,36,3.121,34.7,11.0,3.0,14.0,6.0,5.0,6.0,4.0,0.0,10.5,5.7,6.6,123.0,115.0,198.0,211.0,32.0,9.0,40.0,17.0,26.0,30.0,19.0,49.0,17.0,36.0,Partidas,Stefano Turati,it ITA,G,21.0,31.0,31.0,2.745,30.5,58.0,190.0,152.0,94.0,651.0,6.0,9.0,16.0,4.0,129.0,7.0,5.0,1.0,1.0,167.0,Partidas,Matìas Soulé,ar ARG,"AT,LT",20.0,34.7,41.0,27.0,12.0,14.0,15.0,19.0,40.0,475.0,21.0,38.0,4.0,34.0,18.0,59.0,9.0,0.0,Partidas
Caleb Okoli,it ITA,ZG,22.0,34,32,2.914,32.4,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.8,14.0,22.0,118.0,4.0,0.0,3.0,3.0,0.0,3.0,2.0,2.0,4.0,2.0,4.0,Partidas,Michele Cerofolini,it ITA,G,24.0,8.0,7.0,675.0,7.5,11.0,147.0,28.0,18.0,607.0,2.0,2.0,3.0,3.0,429.0,1.0,0.0,0.0,1.0,,Partidas,Caleb Okoli,it ITA,ZG,22.0,32.4,56.0,34.0,33.0,22.0,1.0,29.0,44.0,659.0,15.0,48.0,32.0,16.0,29.0,85.0,156.0,4.0,Partidas
Enzo Barrenechea,ar ARG,LT,22.0,36,32,2.811,31.2,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.6,0.6,1.7,23.0,10.0,155.0,24.0,0.0,3.0,3.0,0.0,3.0,2.0,5.0,7.0,2.0,7.0,Partidas,Total do time,,,24.3,38.0,38.0,3.42,38.0,69.0,182.0,180.0,112.0,644.0,8.0,11.0,19.0,7.0,184.0,8.0,5.0,1.0,2.0,167.0,,Enzo Barrenechea,ar ARG,LT,22.0,31.2,65.0,42.0,28.0,29.0,8.0,28.0,70.0,400.0,42.0,47.0,12.0,35.0,27.0,92.0,61.0,2.0,Partidas
Stefano Turati,it ITA,G,21.0,31,31,2.745,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Total de adversários,,,26.7,38.0,38.0,3.42,38.0,44.0,116.0,156.0,111.0,769.0,19.0,11.0,8.0,12.0,316.0,10.0,8.0,1.0,1.0,111.0,,Stefano Turati,it ITA,G,21.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,Partidas
Simone Romagnoli,it ITA,ZG,33.0,33,30,2.715,30.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,0.4,16.0,2.0,47.0,2.0,3.0,3.0,7.0,3.0,7.0,4.0,1.0,5.0,4.0,5.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Simone Romagnoli,it ITA,ZG,33.0,30.2,35.0,15.0,23.0,11.0,1.0,15.0,20.0,750.0,5.0,51.0,36.0,15.0,29.0,64.0,147.0,0.0,Partidas
Luca Mazzitelli,it ITA,LT,27.0,29,26,2.21,24.6,5.0,0.0,5.0,5.0,0.0,0.0,6.0,1.0,2.3,2.3,1.1,34.0,18.0,167.0,53.0,20.0,0.0,20.0,20.0,20.0,9.0,5.0,14.0,9.0,14.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Luca Mazzitelli,it ITA,LT,27.0,24.6,45.0,23.0,15.0,24.0,6.0,26.0,49.0,531.0,23.0,23.0,7.0,16.0,19.0,64.0,62.0,0.0,Partidas
Marco Brescianini,it ITA,LT,23.0,36,24,2.321,25.8,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,2.3,2.3,1.6,39.0,46.0,70.0,100.0,16.0,8.0,23.0,16.0,23.0,9.0,6.0,15.0,9.0,15.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Marco Brescianini,it ITA,LT,23.0,25.8,28.0,13.0,13.0,12.0,3.0,9.0,25.0,360.0,16.0,22.0,5.0,17.0,10.0,38.0,37.0,0.0,Partidas
Walid Cheddira,ma MAR,AT,25.0,36,24,2.12,23.6,7.0,1.0,8.0,6.0,1.0,1.0,0.0,0.0,9.0,8.2,1.4,96.0,31.0,22.0,139.0,30.0,4.0,34.0,25.0,30.0,38.0,6.0,44.0,35.0,41.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Walid Cheddira,ma MAR,AT,25.0,23.6,12.0,7.0,1.0,8.0,3.0,4.0,8.0,500.0,4.0,6.0,1.0,5.0,5.0,17.0,10.0,0.0,Partidas
Pol Lirola,es ESP,ZG,25.0,25,18,1.536,17.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,1.1,24.0,30.0,65.0,59.0,12.0,6.0,18.0,12.0,18.0,8.0,6.0,14.0,8.0,14.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Pol Lirola,es ESP,ZG,25.0,17.1,30.0,18.0,14.0,15.0,1.0,17.0,35.0,486.0,18.0,12.0,1.0,11.0,19.0,49.0,41.0,1.0,Partidas
