Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Mattia Perin,it ITA,G,27.0,32,32,2.879,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Mattia Perin,it ITA,G,27.0,32.0,32.0,2.879,32.0,44.0,138.0,158.0,116.0,766.0,9.0,11.0,12.0,8.0,250.0,7.0,7.0,0.0,0.0,0.0,Partidas,Mattia Perin,it ITA,G,27.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,Partidas
Andrea Masiello,it ITA,ZG,34.0,30,30,2.563,28.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.4,9.0,9.0,99.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,Partidas,Federico Marchetti,it ITA,G,37.0,4.0,4.0,334.0,3.7,11.0,296.0,18.0,7.0,389.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,Partidas,Andrea Masiello,it ITA,ZG,34.0,28.5,38.0,22.0,29.0,6.0,3.0,23.0,48.0,479.0,25.0,32.0,13.0,19.0,53.0,91.0,107.0,3.0,Partidas
Milan Badelj,hr CRO,LT,31.0,30,29,2.408,26.8,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,2.7,35.0,23.0,170.0,25.0,4.0,15.0,19.0,4.0,19.0,3.0,10.0,13.0,3.0,13.0,Partidas,Alberto Paleari,it ITA,G,27.0,3.0,2.0,206.0,2.3,3.0,131.0,12.0,9.0,750.0,1.0,0.0,1.0,1.0,500.0,0.0,0.0,0.0,0.0,,Partidas,Milan Badelj,hr CRO,LT,31.0,26.8,56.0,27.0,27.0,22.0,7.0,26.0,84.0,310.0,58.0,51.0,10.0,41.0,87.0,143.0,45.0,1.0,Partidas
Ivan Radovanović,rs SRB,"ZG,LT",31.0,33,24,2.232,24.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.3,7.0,4.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,Partidas,Total do time,,,28.3,38.0,38.0,3.419,38.0,58.0,153.0,188.0,132.0,729.0,10.0,12.0,16.0,9.0,237.0,7.0,7.0,0.0,0.0,0.0,,Ivan Radovanović,rs SRB,"ZG,LT",31.0,24.8,18.0,15.0,13.0,5.0,0.0,12.0,31.0,387.0,19.0,39.0,21.0,18.0,37.0,55.0,114.0,2.0,Partidas
Davide Zappacosta,it ITA,ZG,28.0,25,23,2.045,22.7,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,2.6,2.6,1.4,39.0,88.0,38.0,166.0,18.0,9.0,26.0,18.0,26.0,11.0,6.0,17.0,11.0,17.0,Partidas,Total de adversários,,,27.2,38.0,38.0,3.42,38.0,47.0,124.0,124.0,78.0,653.0,16.0,12.0,10.0,9.0,237.0,4.0,4.0,0.0,0.0,0.0,,Davide Zappacosta,it ITA,ZG,28.0,22.7,33.0,16.0,15.0,13.0,5.0,15.0,30.0,500.0,15.0,17.0,1.0,16.0,18.0,51.0,41.0,0.0,Partidas
Miha Zajc,si SVN,LT,26.0,31,22,1.863,20.7,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,2.1,39.0,42.0,96.0,42.0,5.0,14.0,19.0,5.0,19.0,8.0,10.0,19.0,8.0,19.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Miha Zajc,si SVN,LT,26.0,20.7,22.0,14.0,9.0,10.0,3.0,13.0,39.0,333.0,26.0,30.0,4.0,26.0,27.0,49.0,19.0,0.0,Partidas
Mattia Destro,it ITA,AT,29.0,29,22,1.606,17.8,11.0,1.0,12.0,11.0,0.0,0.0,5.0,0.0,6.2,6.2,0.5,67.0,22.0,13.0,76.0,62.0,6.0,67.0,62.0,67.0,35.0,3.0,38.0,35.0,38.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Mattia Destro,it ITA,AT,29.0,17.8,6.0,3.0,0.0,3.0,3.0,2.0,9.0,222.0,7.0,11.0,0.0,11.0,4.0,10.0,8.0,0.0,Partidas
Domenico Criscito,it ITA,ZG,33.0,23,20,1.726,19.2,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.9,0.1,0.4,6.0,39.0,83.0,18.0,5.0,0.0,5.0,0.0,0.0,5.0,2.0,7.0,1.0,3.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Domenico Criscito,it ITA,ZG,33.0,19.2,43.0,22.0,29.0,11.0,3.0,22.0,39.0,564.0,17.0,27.0,14.0,13.0,44.0,87.0,51.0,0.0,Partidas
Edoardo Goldaniga,it ITA,ZG,26.0,25,19,1.857,20.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.5,0.5,0.8,13.0,21.0,68.0,41.0,0.0,5.0,5.0,0.0,5.0,2.0,4.0,6.0,2.0,6.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Edoardo Goldaniga,it ITA,ZG,26.0,20.6,28.0,18.0,21.0,7.0,0.0,14.0,23.0,609.0,9.0,17.0,7.0,10.0,38.0,66.0,62.0,1.0,Partidas
