Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Radu Drăgușin,ro ROU,ZG,20.0,38,37,3.375,37.5,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,2.6,2.6,0.5,31.0,22.0,109.0,13.0,11.0,0.0,11.0,11.0,11.0,7.0,1.0,8.0,7.0,8.0,Partidas,Josep Martinez,es ESP,G,24.0,30.0,30.0,2.699,30.0,22.0,73.0,82.0,61.0,756.0,19.0,8.0,3.0,17.0,567.0,2.0,2.0,0.0,0.0,0.0,Partidas,Radu Drăgușin,ro ROU,ZG,20.0,37.5,35.0,21.0,23.0,9.0,3.0,12.0,22.0,545.0,10.0,31.0,21.0,10.0,48.0,83.0,120.0,0.0,Partidas
Morten Frendrup,dk DEN,"LT,ZG",21.0,37,32,2.921,32.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,1.6,30.0,37.0,103.0,78.0,6.0,0.0,6.0,6.0,6.0,4.0,5.0,9.0,4.0,9.0,Partidas,Adrian Šemper,hr CRO,G,24.0,8.0,8.0,720.0,8.0,6.0,75.0,21.0,14.0,762.0,2.0,3.0,3.0,3.0,375.0,2.0,1.0,1.0,0.0,500.0,Partidas,Morten Frendrup,dk DEN,"LT,ZG",21.0,32.5,106.0,65.0,50.0,47.0,9.0,45.0,87.0,517.0,42.0,66.0,6.0,60.0,48.0,154.0,26.0,0.0,Partidas
Albert Guðmundsson,is ISL,"AT,LT",25.0,36,32,2.696,30.0,11.0,4.0,15.0,11.0,0.0,0.0,6.0,1.0,8.3,8.3,5.0,133.0,125.0,132.0,221.0,37.0,13.0,50.0,37.0,50.0,28.0,17.0,44.0,28.0,44.0,Partidas,Giuseppe Agostino,it ITA,G,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Partidas,Albert Guðmundsson,is ISL,"AT,LT",25.0,30.0,19.0,11.0,7.0,9.0,3.0,10.0,44.0,227.0,34.0,17.0,1.0,16.0,14.0,33.0,7.0,0.0,Partidas
Mattia Bani,it ITA,ZG,28.0,33,31,2.551,28.3,2.0,2.0,4.0,2.0,0.0,0.0,8.0,2.0,3.7,3.7,1.4,52.0,14.0,132.0,21.0,7.0,7.0,14.0,7.0,14.0,13.0,5.0,18.0,13.0,18.0,Partidas,Total do time,,,26.8,38.0,38.0,3.42,38.0,28.0,74.0,103.0,75.0,757.0,21.0,11.0,6.0,20.0,526.0,4.0,3.0,1.0,0.0,250.0,,Mattia Bani,it ITA,ZG,28.0,28.3,34.0,22.0,20.0,10.0,4.0,17.0,25.0,680.0,8.0,29.0,16.0,13.0,45.0,79.0,100.0,1.0,Partidas
Josep Martinez,es ESP,G,24.0,30,30,2.699,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Total de adversários,,,26.7,38.0,38.0,3.42,38.0,53.0,139.0,174.0,120.0,724.0,6.0,11.0,21.0,10.0,263.0,6.0,5.0,1.0,0.0,167.0,,Josep Martinez,es ESP,G,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,Partidas
Stefano Sabelli,it ITA,ZG,29.0,30,29,2.514,27.9,1.0,4.0,5.0,1.0,0.0,0.0,10.0,0.0,0.7,0.7,3.4,41.0,75.0,130.0,185.0,4.0,14.0,18.0,4.0,18.0,2.0,12.0,15.0,2.0,15.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Stefano Sabelli,it ITA,ZG,29.0,27.9,47.0,25.0,25.0,15.0,7.0,21.0,48.0,438.0,27.0,32.0,4.0,28.0,29.0,76.0,42.0,0.0,Partidas
Massimo Coda,it ITA,AT,33.0,31,28,2.207,24.5,10.0,6.0,16.0,6.0,4.0,5.0,3.0,0.0,12.4,8.3,4.9,132.0,35.0,69.0,225.0,41.0,24.0,65.0,24.0,49.0,50.0,20.0,71.0,34.0,54.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Massimo Coda,it ITA,AT,33.0,24.5,2.0,1.0,0.0,1.0,1.0,0.0,9.0,0.0,9.0,11.0,1.0,10.0,1.0,3.0,6.0,0.0,Partidas
Milan Badelj,hr CRO,LT,33.0,26,26,2.139,23.8,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,2.4,2.4,1.3,37.0,18.0,192.0,36.0,13.0,4.0,17.0,13.0,17.0,10.0,5.0,16.0,10.0,16.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Milan Badelj,hr CRO,LT,33.0,23.8,39.0,21.0,23.0,11.0,5.0,21.0,53.0,396.0,32.0,38.0,10.0,28.0,48.0,87.0,39.0,1.0,Partidas
Kevin Strootman,nl NED,LT,32.0,30,25,2.229,24.8,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.7,1.7,2.2,38.0,42.0,257.0,69.0,8.0,0.0,8.0,8.0,8.0,7.0,9.0,16.0,7.0,16.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Strootman,nl NED,LT,32.0,24.8,66.0,31.0,30.0,30.0,6.0,23.0,46.0,500.0,23.0,37.0,9.0,28.0,31.0,97.0,32.0,0.0,Partidas
Alessandro Vogliacco,it ITA,ZG,23.0,25,18,1.64,18.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.8,1.8,0.4,22.0,7.0,72.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,10.0,12.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Vogliacco,it ITA,ZG,23.0,18.2,26.0,15.0,16.0,9.0,1.0,15.0,21.0,714.0,6.0,18.0,10.0,8.0,16.0,42.0,75.0,0.0,Partidas
