Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Lorenzo Montipò,it ITA,G,25.0,34,34,3.06,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Lorenzo Montipò,it ITA,G,25.0,34.0,34.0,3.06,34.0,50.0,147.0,137.0,88.0,650.0,13.0,10.0,11.0,4.0,118.0,3.0,2.0,1.0,0.0,333.0,Partidas,Lorenzo Montipò,it ITA,G,25.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,16.0,3.0,Partidas
Gianluca Caprari,it ITA,"LT,AT",28.0,35,33,2.739,30.4,12.0,7.0,19.0,10.0,2.0,2.0,4.0,0.0,7.1,5.5,6.2,117.0,117.0,164.0,270.0,39.0,23.0,62.0,33.0,56.0,23.0,20.0,44.0,18.0,38.0,Partidas,Ivor Pandur,hr CRO,G,21.0,3.0,3.0,270.0,3.0,6.0,200.0,15.0,9.0,667.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Partidas,Gianluca Caprari,it ITA,"LT,AT",28.0,30.4,43.0,25.0,10.0,22.0,11.0,17.0,51.0,333.0,34.0,32.0,0.0,32.0,4.0,47.0,7.0,0.0,Partidas
Darko Lazović,rs SRB,ZG,30.0,34,32,2.766,30.7,1.0,7.0,8.0,1.0,0.0,0.0,2.0,0.0,2.9,2.9,6.3,92.0,101.0,174.0,243.0,3.0,23.0,26.0,3.0,26.0,9.0,20.0,30.0,9.0,30.0,Partidas,Alessandro Berardi,it ITA,G,30.0,1.0,1.0,90.0,1.0,3.0,300.0,7.0,4.0,571.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Partidas,Darko Lazović,rs SRB,ZG,30.0,30.7,36.0,23.0,20.0,8.0,8.0,21.0,39.0,538.0,18.0,28.0,4.0,24.0,19.0,55.0,49.0,1.0,Partidas
Giovanni Simeone,ar ARG,AT,26.0,35,32,2.653,29.5,17.0,5.0,22.0,17.0,0.0,1.0,8.0,0.0,10.3,9.5,3.2,127.0,40.0,40.0,259.0,58.0,17.0,75.0,58.0,75.0,35.0,11.0,46.0,32.0,43.0,Partidas,Total do time,,,26.8,38.0,38.0,3.42,38.0,59.0,155.0,159.0,101.0,648.0,14.0,11.0,13.0,4.0,105.0,4.0,3.0,1.0,0.0,250.0,,Giovanni Simeone,ar ARG,AT,26.0,29.5,27.0,15.0,6.0,12.0,9.0,9.0,39.0,231.0,30.0,37.0,3.0,34.0,6.0,33.0,23.0,0.0,Partidas
Nicolò Casale,it ITA,ZG,23.0,36,30,2.586,28.7,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.7,0.7,1.0,17.0,40.0,91.0,29.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,6.0,3.0,6.0,Partidas,Total de adversários,,,26.8,38.0,38.0,3.42,38.0,65.0,171.0,159.0,96.0,635.0,13.0,11.0,14.0,6.0,158.0,8.0,7.0,0.0,1.0,0.0,,Nicolò Casale,it ITA,ZG,23.0,28.7,46.0,30.0,25.0,19.0,2.0,21.0,37.0,568.0,16.0,31.0,12.0,19.0,49.0,95.0,95.0,0.0,Partidas
Davide Faraoni,it ITA,ZG,29.0,32,30,2.572,28.6,4.0,5.0,9.0,4.0,0.0,0.0,8.0,1.0,3.0,3.0,2.9,59.0,31.0,123.0,125.0,14.0,17.0,31.0,14.0,31.0,11.0,10.0,21.0,11.0,21.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Davide Faraoni,it ITA,ZG,29.0,28.6,62.0,40.0,38.0,21.0,3.0,29.0,62.0,468.0,33.0,38.0,5.0,33.0,23.0,85.0,62.0,1.0,Partidas
Ivan Ilić,rs SRB,LT,20.0,32,30,2.526,28.1,1.0,3.0,4.0,1.0,0.0,0.0,5.0,1.0,2.4,2.4,1.8,42.0,39.0,134.0,67.0,4.0,11.0,14.0,4.0,14.0,9.0,6.0,15.0,9.0,15.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Ilić,rs SRB,LT,20.0,28.1,39.0,18.0,16.0,19.0,4.0,20.0,54.0,370.0,34.0,34.0,12.0,22.0,22.0,61.0,55.0,0.0,Partidas
Koray Günter,de GER,ZG,26.0,30,29,2.411,26.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.3,0.3,0.7,10.0,10.0,106.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,4.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Koray Günter,de GER,ZG,26.0,26.8,32.0,18.0,19.0,11.0,2.0,16.0,32.0,500.0,16.0,27.0,21.0,6.0,69.0,101.0,110.0,1.0,Partidas
Federico Ceccherini,it ITA,ZG,29.0,34,29,2.358,26.2,1.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.7,1.7,0.5,22.0,20.0,95.0,41.0,4.0,0.0,4.0,4.0,4.0,6.0,2.0,8.0,6.0,8.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Federico Ceccherini,it ITA,ZG,29.0,26.2,32.0,16.0,19.0,10.0,3.0,19.0,33.0,576.0,14.0,13.0,8.0,5.0,50.0,82.0,76.0,1.0,Partidas
