Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Samir Handanović,si SVN,G,36.0,37,37,3.24,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Samir Handanović,si SVN,G,36.0,37.0,37.0,3.24,36.0,33.0,92.0,110.0,76.0,736.0,27.0,7.0,3.0,14.0,378.0,6.0,4.0,2.0,0.0,333.0,Partidas,Samir Handanović,si SVN,G,36.0,36.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,Partidas
Alessandro Bastoni,it ITA,ZG,21.0,33,33,2.922,32.5,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,1.5,24.0,70.0,146.0,60.0,0.0,9.0,9.0,0.0,9.0,3.0,4.0,8.0,3.0,8.0,Partidas,Ionuț Radu,ro ROU,G,23.0,2.0,1.0,135.0,1.5,1.0,67.0,6.0,5.0,833.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Partidas,Alessandro Bastoni,it ITA,ZG,21.0,32.5,36.0,22.0,13.0,21.0,2.0,17.0,27.0,630.0,10.0,34.0,16.0,18.0,40.0,76.0,75.0,0.0,Partidas
Nicolò Barella,it ITA,LT,23.0,36,32,2.896,32.2,3.0,7.0,10.0,3.0,0.0,0.0,5.0,0.0,2.4,2.4,5.7,81.0,99.0,261.0,149.0,9.0,22.0,31.0,9.0,31.0,7.0,18.0,25.0,7.0,25.0,Partidas,Daniele Padelli,it ITA,G,34.0,1.0,0.0,45.0,0.5,1.0,200.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,Partidas,Nicolò Barella,it ITA,LT,23.0,32.2,58.0,31.0,23.0,29.0,6.0,23.0,72.0,319.0,49.0,29.0,4.0,25.0,26.0,84.0,14.0,0.0,Partidas
Romelu Lukaku,be BEL,AT,27.0,36,32,2.884,32.0,24.0,11.0,35.0,18.0,6.0,6.0,4.0,0.0,23.0,18.2,7.0,253.0,77.0,82.0,295.0,75.0,34.0,109.0,56.0,90.0,72.0,22.0,94.0,57.0,79.0,Partidas,Total do time,,,27.7,38.0,38.0,3.42,38.0,35.0,92.0,118.0,82.0,746.0,28.0,7.0,3.0,14.0,368.0,7.0,5.0,2.0,0.0,286.0,,Romelu Lukaku,be BEL,AT,27.0,32.0,11.0,1.0,1.0,6.0,4.0,6.0,14.0,429.0,8.0,11.0,1.0,10.0,3.0,14.0,34.0,0.0,Partidas
Milan Škriniar,sk SVK,ZG,25.0,32,31,2.777,30.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,0.5,28.0,46.0,143.0,42.0,10.0,0.0,10.0,10.0,10.0,7.0,2.0,9.0,7.0,9.0,Partidas,Total de adversários,,,26.9,38.0,38.0,3.42,38.0,89.0,234.0,203.0,118.0,601.0,3.0,7.0,28.0,1.0,26.0,9.0,8.0,1.0,0.0,111.0,,Milan Škriniar,sk SVK,ZG,25.0,30.9,48.0,32.0,29.0,16.0,3.0,23.0,34.0,676.0,11.0,30.0,19.0,11.0,30.0,78.0,89.0,1.0,Partidas
Stefan de Vrij,nl NED,ZG,28.0,32,30,2.734,30.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.5,17.0,19.0,94.0,2.0,3.0,0.0,3.0,3.0,3.0,4.0,1.0,5.0,4.0,5.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Stefan de Vrij,nl NED,ZG,28.0,30.4,28.0,16.0,15.0,12.0,1.0,15.0,24.0,625.0,9.0,24.0,18.0,6.0,41.0,69.0,95.0,0.0,Partidas
Lautaro Martínez,ar ARG,AT,22.0,38,30,2.561,28.5,17.0,6.0,23.0,15.0,2.0,2.0,5.0,0.0,15.2,13.6,5.7,193.0,48.0,61.0,187.0,60.0,21.0,81.0,53.0,74.0,53.0,20.0,73.0,48.0,68.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Lautaro Martínez,ar ARG,AT,22.0,28.5,25.0,12.0,5.0,11.0,9.0,7.0,24.0,292.0,17.0,31.0,1.0,30.0,27.0,52.0,16.0,0.0,Partidas
Achraf Hakimi,ma MAR,ZG,21.0,37,29,2.665,29.6,7.0,8.0,15.0,7.0,0.0,0.0,6.0,0.0,4.7,4.7,6.2,109.0,113.0,98.0,309.0,24.0,27.0,51.0,24.0,51.0,16.0,21.0,37.0,16.0,37.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Achraf Hakimi,ma MAR,ZG,21.0,29.6,53.0,32.0,23.0,19.0,11.0,23.0,48.0,479.0,25.0,31.0,1.0,30.0,22.0,75.0,23.0,1.0,Partidas
Marcelo Brozović,hr CRO,LT,27.0,33,29,2.581,28.7,2.0,6.0,8.0,2.0,0.0,0.0,9.0,1.0,1.0,1.0,4.4,54.0,35.0,240.0,32.0,7.0,21.0,28.0,7.0,28.0,4.0,15.0,19.0,4.0,19.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Marcelo Brozović,hr CRO,LT,27.0,28.7,54.0,29.0,23.0,24.0,7.0,20.0,61.0,328.0,41.0,43.0,17.0,26.0,40.0,94.0,38.0,0.0,Partidas
