Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Henrikh Mkhitaryan,am ARM,LT,34.0,36,35,2.785,30.9,2.0,8.0,10.0,2.0,0.0,0.0,4.0,0.0,3.6,3.6,4.5,81.0,92.0,192.0,127.0,6.0,26.0,32.0,6.0,32.0,12.0,15.0,26.0,12.0,26.0,Partidas,Yann Sommer,ch SUI,G,34.0,34.0,34.0,3.06,34.0,19.0,56.0,98.0,78.0,827.0,27.0,6.0,1.0,19.0,559.0,4.0,2.0,1.0,1.0,333.0,Partidas,Henrikh Mkhitaryan,am ARM,LT,34.0,30.9,62.0,34.0,18.0,35.0,9.0,24.0,49.0,490.0,25.0,23.0,4.0,19.0,29.0,91.0,43.0,0.0,Partidas
Yann Sommer,ch SUI,G,34.0,34,34,3.06,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Emil Audero,it ITA,G,26.0,4.0,4.0,337.0,3.7,3.0,80.0,11.0,8.0,727.0,2.0,1.0,1.0,2.0,500.0,0.0,0.0,0.0,0.0,,Partidas,Yann Sommer,ch SUI,G,34.0,34.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1000.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,1.0,Partidas
Nicolò Barella,it ITA,LT,26.0,37,34,2.846,31.6,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,5.1,5.1,3.4,85.0,68.0,278.0,144.0,6.0,9.0,16.0,6.0,16.0,16.0,11.0,27.0,16.0,27.0,Partidas,Raffaele Di Gennaro,it ITA,G,29.0,1.0,0.0,23.0,0.3,0.0,0.0,4.0,4.0,1000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Partidas,Nicolò Barella,it ITA,LT,26.0,31.6,46.0,30.0,17.0,20.0,9.0,19.0,63.0,302.0,44.0,31.0,1.0,30.0,10.0,56.0,12.0,1.0,Partidas
Marcus Thuram,fr FRA,AT,25.0,35,34,2.687,29.9,13.0,7.0,20.0,13.0,0.0,0.0,3.0,0.0,14.3,14.3,3.7,180.0,68.0,47.0,192.0,44.0,23.0,67.0,44.0,67.0,48.0,12.0,60.0,48.0,60.0,Partidas,Total do time,,,29.1,38.0,38.0,3.42,38.0,22.0,58.0,113.0,90.0,823.0,29.0,7.0,2.0,21.0,553.0,4.0,2.0,1.0,1.0,333.0,,Marcus Thuram,fr FRA,AT,25.0,29.9,23.0,15.0,9.0,9.0,5.0,4.0,13.0,308.0,9.0,26.0,3.0,23.0,4.0,27.0,19.0,0.0,Partidas
Hakan Çalhanoğlu,tr TUR,LT,29.0,32,32,2.556,28.4,13.0,3.0,16.0,3.0,10.0,10.0,5.0,0.0,10.1,2.3,4.7,70.0,45.0,186.0,34.0,46.0,11.0,56.0,11.0,21.0,36.0,17.0,52.0,8.0,25.0,Partidas,Total de adversários,,,26.2,38.0,38.0,3.42,38.0,89.0,234.0,210.0,122.0,638.0,2.0,7.0,29.0,1.0,26.0,14.0,13.0,1.0,0.0,71.0,,Hakan Çalhanoğlu,tr TUR,LT,29.0,28.4,66.0,33.0,29.0,29.0,8.0,32.0,49.0,653.0,17.0,29.0,13.0,16.0,24.0,90.0,22.0,0.0,Partidas
Lautaro Martínez,ar ARG,AT,25.0,33,31,2.656,29.5,24.0,3.0,27.0,22.0,2.0,3.0,5.0,0.0,17.6,15.3,3.6,188.0,54.0,80.0,172.0,81.0,10.0,91.0,75.0,85.0,60.0,12.0,72.0,52.0,64.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Lautaro Martínez,ar ARG,AT,25.0,29.5,22.0,16.0,4.0,13.0,5.0,4.0,19.0,211.0,15.0,30.0,1.0,29.0,20.0,42.0,10.0,0.0,Partidas
Federico Dimarco,it ITA,ZG,25.0,30,29,2.077,23.1,5.0,6.0,11.0,5.0,0.0,0.0,0.0,0.0,2.9,2.7,8.5,111.0,51.0,100.0,198.0,22.0,26.0,48.0,22.0,48.0,13.0,37.0,49.0,12.0,48.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Federico Dimarco,it ITA,ZG,25.0,23.1,42.0,25.0,19.0,14.0,9.0,17.0,35.0,486.0,18.0,18.0,3.0,15.0,9.0,51.0,34.0,1.0,Partidas
Alessandro Bastoni,it ITA,ZG,24.0,28,28,2.268,25.2,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,3.4,46.0,63.0,142.0,77.0,4.0,12.0,16.0,4.0,16.0,5.0,13.0,18.0,5.0,18.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Bastoni,it ITA,ZG,24.0,25.2,46.0,33.0,31.0,12.0,3.0,26.0,40.0,650.0,14.0,25.0,11.0,14.0,23.0,69.0,48.0,1.0,Partidas
Matteo Darmian,it ITA,ZG,33.0,33,27,2.404,26.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,1.8,30.0,18.0,72.0,82.0,7.0,4.0,11.0,7.0,11.0,4.0,7.0,11.0,4.0,11.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Matteo Darmian,it ITA,ZG,33.0,26.7,48.0,22.0,23.0,15.0,10.0,20.0,53.0,377.0,33.0,27.0,11.0,16.0,13.0,61.0,55.0,0.0,Partidas
Francesco Acerbi,it ITA,ZG,35.0,29,26,2.388,26.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,1.8,34.0,21.0,87.0,24.0,11.0,4.0,15.0,11.0,15.0,6.0,7.0,13.0,6.0,13.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Acerbi,it ITA,ZG,35.0,26.5,22.0,13.0,16.0,6.0,0.0,11.0,14.0,786.0,3.0,20.0,13.0,7.0,32.0,54.0,77.0,1.0,Partidas
Benjamin Pavard,fr FRA,ZG,27.0,23,21,1.672,18.6,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,1.4,21.0,25.0,89.0,47.0,0.0,11.0,11.0,0.0,11.0,4.0,7.0,11.0,4.0,11.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Pavard,fr FRA,ZG,27.0,18.6,34.0,21.0,21.0,11.0,2.0,20.0,24.0,833.0,4.0,25.0,15.0,10.0,32.0,66.0,44.0,1.0,Partidas
