Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Danilo,br BRA,"ZG,LT",29.0,34,32,2.916,32.4,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,1.9,1.9,3.2,51.0,59.0,240.0,55.0,3.0,12.0,15.0,3.0,15.0,6.0,10.0,16.0,6.0,16.0,Partidas,Wojciech Szczęsny,pl POL,G,30.0,30.0,30.0,2.677,29.7,32.0,108.0,98.0,66.0,714.0,16.0,8.0,6.0,5.0,167.0,6.0,4.0,2.0,0.0,333.0,Partidas,Danilo,br BRA,"ZG,LT",29.0,32.4,62.0,31.0,37.0,16.0,9.0,35.0,66.0,530.0,31.0,32.0,12.0,20.0,66.0,128.0,68.0,2.0,Partidas
Cristiano Ronaldo,pt POR,AT,35.0,33,31,2.802,31.1,29.0,2.0,31.0,23.0,6.0,8.0,3.0,0.0,27.7,21.4,3.8,252.0,154.0,117.0,277.0,93.0,6.0,100.0,74.0,80.0,89.0,12.0,101.0,69.0,81.0,Partidas,Gianluigi Buffon,it ITA,G,42.0,8.0,8.0,720.0,8.0,5.0,62.0,21.0,15.0,857.0,7.0,1.0,0.0,3.0,375.0,3.0,2.0,1.0,0.0,333.0,Partidas,Cristiano Ronaldo,pt POR,AT,35.0,31.1,6.0,3.0,1.0,3.0,2.0,3.0,15.0,200.0,12.0,11.0,3.0,8.0,5.0,11.0,15.0,1.0,Partidas
Wojciech Szczęsny,pl POL,G,30.0,30,30,2.677,29.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Partidas,Carlo Pinsoglio,it ITA,G,30.0,1.0,0.0,23.0,0.3,1.0,391.0,2.0,1.0,500.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Partidas,Wojciech Szczęsny,pl POL,G,30.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,3.0,3.0,5.0,1.0,Partidas
Federico Chiesa,it ITA,"LT,ZG",22.0,30,28,2.21,24.6,8.0,8.0,16.0,8.0,0.0,0.0,3.0,1.0,6.1,6.1,7.8,139.0,92.0,79.0,179.0,33.0,33.0,65.0,33.0,65.0,25.0,32.0,57.0,25.0,57.0,Partidas,Total do time,,,27.7,38.0,38.0,3.42,38.0,38.0,100.0,121.0,82.0,736.0,23.0,9.0,6.0,8.0,211.0,9.0,6.0,3.0,0.0,333.0,,Federico Chiesa,it ITA,"LT,ZG",22.0,24.6,47.0,26.0,21.0,14.0,12.0,19.0,50.0,380.0,31.0,23.0,1.0,22.0,12.0,59.0,16.0,0.0,Partidas
Rodrigo Bentancur,uy URU,LT,23.0,33,27,2.324,25.8,0.0,4.0,4.0,0.0,0.0,0.0,8.0,1.0,0.6,0.6,2.3,29.0,35.0,173.0,25.0,0.0,15.0,15.0,0.0,15.0,2.0,9.0,11.0,2.0,11.0,Partidas,Total de adversários,,,27.0,38.0,38.0,3.42,38.0,77.0,203.0,216.0,138.0,681.0,6.0,9.0,23.0,6.0,158.0,10.0,8.0,2.0,0.0,200.0,,Rodrigo Bentancur,uy URU,LT,23.0,25.8,63.0,33.0,21.0,37.0,5.0,20.0,59.0,339.0,39.0,35.0,12.0,23.0,47.0,110.0,46.0,1.0,Partidas
Juan Cuadrado,co COL,"ZG,LT",32.0,30,26,2.175,24.2,2.0,10.0,12.0,1.0,1.0,1.0,9.0,1.0,2.3,1.5,8.2,97.0,93.0,132.0,217.0,8.0,41.0,50.0,4.0,46.0,10.0,34.0,43.0,6.0,40.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Juan Cuadrado,co COL,"ZG,LT",32.0,24.2,43.0,25.0,22.0,15.0,6.0,29.0,60.0,483.0,31.0,16.0,2.0,14.0,43.0,86.0,22.0,2.0,Partidas
Adrien Rabiot,fr FRA,LT,25.0,34,25,2.313,25.7,4.0,2.0,6.0,4.0,0.0,0.0,7.0,1.0,2.7,2.7,1.1,38.0,69.0,122.0,71.0,16.0,8.0,23.0,16.0,23.0,11.0,4.0,15.0,11.0,15.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Adrien Rabiot,fr FRA,LT,25.0,25.7,72.0,42.0,24.0,41.0,7.0,28.0,60.0,467.0,32.0,32.0,11.0,21.0,43.0,115.0,29.0,1.0,Partidas
Matthijs de Ligt,nl NED,ZG,20.0,27,25,2.22,24.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,0.9,22.0,16.0,93.0,6.0,4.0,4.0,8.0,4.0,8.0,5.0,4.0,9.0,5.0,9.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Matthijs de Ligt,nl NED,ZG,20.0,24.7,37.0,19.0,20.0,16.0,1.0,18.0,28.0,643.0,10.0,42.0,21.0,21.0,31.0,68.0,64.0,0.0,Partidas
Leonardo Bonucci,it ITA,ZG,33.0,26,23,2.028,22.5,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.5,2.5,0.4,30.0,6.0,89.0,4.0,9.0,0.0,9.0,9.0,9.0,11.0,2.0,13.0,11.0,13.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Leonardo Bonucci,it ITA,ZG,33.0,22.5,19.0,14.0,10.0,8.0,1.0,6.0,14.0,429.0,8.0,24.0,13.0,11.0,33.0,52.0,67.0,0.0,Partidas
Álvaro Morata,es ESP,AT,27.0,32,23,2.014,22.4,11.0,9.0,20.0,10.0,1.0,1.0,3.0,1.0,10.7,9.9,5.1,150.0,55.0,56.0,159.0,49.0,40.0,89.0,45.0,85.0,48.0,23.0,70.0,44.0,67.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Álvaro Morata,es ESP,AT,27.0,22.4,17.0,12.0,2.0,10.0,5.0,4.0,28.0,143.0,24.0,22.0,2.0,20.0,5.0,22.0,21.0,0.0,Partidas
