Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Ciro Immobile,it ITA,AT,30.0,35,34,2.849,31.7,20.0,6.0,26.0,16.0,4.0,8.0,4.0,1.0,19.8,13.6,6.2,198.0,74.0,84.0,250.0,63.0,19.0,82.0,51.0,69.0,63.0,20.0,82.0,43.0,62.0,Partidas,Pepe Reina,es ESP,G,37.0,29.0,29.0,2.61,29.0,41.0,141.0,113.0,74.0,708.0,18.0,3.0,8.0,9.0,310.0,8.0,8.0,0.0,0.0,0.0,Partidas,Ciro Immobile,it ITA,AT,30.0,31.7,14.0,13.0,4.0,6.0,4.0,7.0,22.0,318.0,15.0,13.0,1.0,12.0,6.0,20.0,9.0,0.0,Partidas
Adam Marušić,me MNE,ZG,27.0,36,33,2.966,33.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,2.2,44.0,53.0,92.0,201.0,6.0,9.0,15.0,6.0,15.0,7.0,7.0,13.0,7.0,13.0,Partidas,Thomas Strakosha,al ALB,G,25.0,9.0,9.0,810.0,9.0,14.0,156.0,38.0,24.0,684.0,3.0,2.0,4.0,3.0,333.0,2.0,2.0,0.0,0.0,0.0,Partidas,Adam Marušić,me MNE,ZG,27.0,33.0,38.0,22.0,22.0,15.0,1.0,20.0,40.0,500.0,20.0,38.0,6.0,32.0,40.0,78.0,54.0,0.0,Partidas
Luis Alberto,es ESP,LT,27.0,34,33,2.618,29.1,9.0,2.0,11.0,9.0,0.0,0.0,5.0,0.0,5.1,5.0,7.9,129.0,143.0,301.0,132.0,31.0,7.0,38.0,31.0,38.0,18.0,27.0,45.0,17.0,44.0,Partidas,Total do time,,,29.4,38.0,38.0,3.42,38.0,55.0,145.0,151.0,98.0,702.0,21.0,5.0,12.0,12.0,316.0,10.0,10.0,0.0,0.0,0.0,,Luis Alberto,es ESP,LT,27.0,29.1,43.0,24.0,15.0,19.0,9.0,15.0,73.0,205.0,58.0,41.0,2.0,39.0,13.0,56.0,11.0,1.0,Partidas
Francesco Acerbi,it ITA,ZG,32.0,32,32,2.813,31.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,1.1,1.1,1.0,21.0,41.0,141.0,46.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,7.0,3.0,7.0,Partidas,Total de adversários,,,26.9,38.0,38.0,3.42,38.0,61.0,161.0,184.0,122.0,701.0,12.0,5.0,21.0,6.0,158.0,10.0,6.0,3.0,1.0,333.0,,Francesco Acerbi,it ITA,ZG,32.0,31.3,51.0,32.0,34.0,13.0,4.0,18.0,40.0,450.0,22.0,24.0,15.0,9.0,76.0,127.0,121.0,2.0,Partidas
Sergej Milinković-Savić,rs SRB,LT,25.0,32,32,2.746,30.5,8.0,9.0,17.0,8.0,0.0,0.0,4.0,0.0,6.9,6.9,6.4,134.0,59.0,203.0,132.0,26.0,29.0,56.0,26.0,56.0,23.0,21.0,44.0,23.0,44.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Sergej Milinković-Savić,rs SRB,LT,25.0,30.5,59.0,40.0,20.0,30.0,9.0,27.0,84.0,321.0,57.0,52.0,12.0,40.0,33.0,92.0,47.0,0.0,Partidas
Manuel Lazzari,it ITA,ZG,26.0,32,30,2.613,29.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,1.0,2.1,2.1,3.4,56.0,130.0,37.0,202.0,7.0,17.0,24.0,7.0,24.0,7.0,12.0,19.0,7.0,19.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Manuel Lazzari,it ITA,ZG,26.0,29.0,24.0,14.0,15.0,4.0,5.0,14.0,39.0,359.0,25.0,22.0,3.0,19.0,18.0,42.0,28.0,0.0,Partidas
Ștefan Radu,ro ROU,ZG,33.0,31,30,2.458,27.3,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.5,19.0,46.0,165.0,50.0,0.0,11.0,11.0,0.0,11.0,2.0,5.0,7.0,2.0,7.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Ștefan Radu,ro ROU,ZG,33.0,27.3,43.0,24.0,20.0,19.0,4.0,25.0,40.0,625.0,15.0,27.0,14.0,13.0,45.0,88.0,73.0,1.0,Partidas
Lucas Leiva,br BRA,LT,33.0,32,30,2.131,23.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4,0.4,0.4,8.0,23.0,163.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Lucas Leiva,br BRA,LT,33.0,23.7,68.0,32.0,38.0,28.0,2.0,30.0,86.0,349.0,56.0,21.0,0.0,21.0,57.0,125.0,21.0,0.0,Partidas
Pepe Reina,es ESP,G,37.0,29,29,2.61,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Pepe Reina,es ESP,G,37.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,Partidas
