Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Gianluigi Donnarumma,it ITA,G,21.0,37,37,3.33,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Gianluigi Donnarumma,it ITA,G,21.0,37.0,37.0,3.33,37.0,38.0,103.0,126.0,88.0,714.0,24.0,6.0,7.0,14.0,378.0,4.0,2.0,1.0,1.0,333.0,Partidas,Gianluigi Donnarumma,it ITA,G,21.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,23.0,2.0,Partidas
Franck Kessié,ci CIV,LT,23.0,37,36,3.226,35.8,13.0,4.0,17.0,2.0,11.0,13.0,8.0,0.0,14.0,3.8,2.9,67.0,64.0,171.0,57.0,36.0,11.0,47.0,6.0,17.0,39.0,8.0,47.0,11.0,19.0,Partidas,Ciprian Tătărușanu,ro ROU,G,34.0,1.0,1.0,90.0,1.0,3.0,300.0,7.0,4.0,714.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Partidas,Franck Kessié,ci CIV,LT,23.0,35.8,53.0,30.0,28.0,19.0,6.0,20.0,38.0,526.0,18.0,47.0,15.0,32.0,46.0,99.0,51.0,0.0,Partidas
Theo Hernández,fr FRA,ZG,22.0,33,33,2.933,32.6,7.0,5.0,12.0,7.0,0.0,0.0,9.0,0.0,4.3,4.3,4.9,92.0,146.0,133.0,189.0,21.0,15.0,37.0,21.0,37.0,13.0,15.0,28.0,13.0,28.0,Partidas,Total do time,,,24.4,38.0,38.0,3.42,38.0,41.0,108.0,133.0,92.0,714.0,24.0,7.0,7.0,14.0,368.0,5.0,3.0,1.0,1.0,250.0,,Theo Hernández,fr FRA,ZG,22.0,32.6,48.0,29.0,22.0,21.0,5.0,19.0,38.0,500.0,19.0,29.0,6.0,23.0,34.0,82.0,64.0,5.0,Partidas
Davide Calabria,it ITA,ZG,23.0,32,30,2.647,29.4,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,1.3,1.3,1.6,29.0,60.0,169.0,110.0,7.0,3.0,10.0,7.0,10.0,4.0,6.0,10.0,4.0,10.0,Partidas,Total de adversários,,,27.4,38.0,38.0,3.42,38.0,74.0,195.0,203.0,127.0,709.0,7.0,7.0,24.0,6.0,158.0,20.0,15.0,4.0,1.0,211.0,,Davide Calabria,it ITA,ZG,23.0,29.4,101.0,64.0,61.0,32.0,8.0,54.0,90.0,600.0,36.0,42.0,9.0,33.0,37.0,138.0,82.0,1.0,Partidas
Hakan Çalhanoğlu,tr TUR,"LT,AT",26.0,33,30,2.614,29.0,4.0,9.0,13.0,3.0,1.0,1.0,4.0,0.0,4.8,4.0,9.1,131.0,88.0,175.0,193.0,14.0,31.0,45.0,10.0,41.0,16.0,31.0,48.0,14.0,45.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Hakan Çalhanoğlu,tr TUR,"LT,AT",26.0,29.0,26.0,7.0,3.0,17.0,6.0,7.0,28.0,250.0,21.0,21.0,6.0,15.0,15.0,41.0,24.0,1.0,Partidas
Simon Kjær,dk DEN,ZG,31.0,28,28,2.393,26.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,1.2,28.0,8.0,73.0,1.0,0.0,8.0,8.0,0.0,8.0,6.0,5.0,10.0,6.0,10.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Simon Kjær,dk DEN,ZG,31.0,26.6,45.0,26.0,23.0,20.0,2.0,18.0,30.0,600.0,12.0,42.0,26.0,16.0,42.0,87.0,125.0,0.0,Partidas
Alexis Saelemaekers,be BEL,AT,21.0,32,27,2.016,22.4,2.0,4.0,6.0,2.0,0.0,0.0,7.0,1.0,2.4,2.4,3.1,56.0,43.0,59.0,169.0,9.0,18.0,27.0,9.0,27.0,11.0,14.0,25.0,11.0,25.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Alexis Saelemaekers,be BEL,AT,21.0,22.4,43.0,26.0,20.0,18.0,5.0,19.0,60.0,317.0,41.0,29.0,1.0,28.0,25.0,68.0,6.0,0.0,Partidas
Rafael Leão,pt POR,AT,21.0,30,22,1.924,21.4,6.0,6.0,12.0,6.0,0.0,0.0,5.0,0.0,6.0,6.0,4.4,104.0,77.0,45.0,147.0,28.0,28.0,56.0,28.0,56.0,28.0,21.0,48.0,28.0,48.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Leão,pt POR,AT,21.0,21.4,13.0,6.0,4.0,7.0,2.0,6.0,15.0,400.0,9.0,17.0,0.0,17.0,4.0,17.0,14.0,1.0,Partidas
Alessio Romagnoli,it ITA,ZG,25.0,22,21,1.907,21.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,2.8,2.8,0.8,36.0,7.0,62.0,0.0,5.0,5.0,9.0,5.0,9.0,13.0,4.0,17.0,13.0,17.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Alessio Romagnoli,it ITA,ZG,25.0,21.2,17.0,7.0,8.0,7.0,2.0,8.0,19.0,421.0,11.0,29.0,22.0,7.0,24.0,41.0,80.0,0.0,Partidas
