Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Theo Hernández,fr FRA,ZG,24.0,32,32,2.771,30.8,4.0,3.0,7.0,3.0,1.0,1.0,7.0,0.0,4.1,3.3,3.3,66.0,108.0,128.0,146.0,13.0,10.0,23.0,10.0,19.0,13.0,11.0,24.0,11.0,21.0,Partidas,Mike Maignan,fr FRA,G,27.0,22.0,22.0,1.978,22.0,21.0,96.0,62.0,40.0,694.0,11.0,7.0,4.0,8.0,364.0,3.0,2.0,1.0,0.0,333.0,Partidas,Theo Hernández,fr FRA,ZG,24.0,30.8,43.0,24.0,27.0,15.0,1.0,22.0,38.0,579.0,16.0,34.0,7.0,27.0,21.0,64.0,35.0,1.0,Partidas
Fikayo Tomori,eng ENG,ZG,24.0,33,32,2.76,30.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.8,21.0,26.0,122.0,10.0,3.0,3.0,7.0,3.0,7.0,4.0,3.0,7.0,4.0,7.0,Partidas,Ciprian Tătărușanu,ro ROU,G,36.0,16.0,16.0,1.44,16.0,22.0,137.0,61.0,40.0,672.0,9.0,3.0,4.0,4.0,250.0,2.0,2.0,0.0,0.0,0.0,Partidas,Fikayo Tomori,eng ENG,ZG,24.0,30.7,70.0,34.0,44.0,25.0,1.0,22.0,34.0,647.0,12.0,46.0,25.0,21.0,29.0,99.0,88.0,1.0,Partidas
Sandro Tonali,it ITA,LT,22.0,34,30,2.713,30.1,2.0,7.0,9.0,2.0,0.0,0.0,7.0,0.0,2.4,2.4,5.7,81.0,61.0,159.0,86.0,7.0,23.0,30.0,7.0,30.0,8.0,19.0,27.0,8.0,27.0,Partidas,Antonio Mirante,it ITA,G,39.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Partidas,Sandro Tonali,it ITA,LT,22.0,30.1,64.0,41.0,35.0,24.0,5.0,27.0,44.0,614.0,17.0,34.0,9.0,25.0,25.0,89.0,26.0,1.0,Partidas
Rafael Leão,pt POR,"AT,LT",23.0,35,28,2.421,26.9,15.0,8.0,23.0,15.0,0.0,0.0,7.0,1.0,10.8,10.8,7.0,179.0,136.0,122.0,235.0,56.0,30.0,86.0,56.0,86.0,40.0,26.0,66.0,40.0,66.0,Partidas,Total do time,,,26.0,38.0,38.0,3.42,38.0,43.0,113.0,123.0,80.0,683.0,20.0,10.0,8.0,12.0,316.0,5.0,4.0,1.0,0.0,200.0,,Rafael Leão,pt POR,"AT,LT",23.0,26.9,8.0,7.0,2.0,3.0,3.0,6.0,14.0,429.0,8.0,9.0,2.0,7.0,15.0,23.0,8.0,0.0,Partidas
Brahim Díaz,ma MAR,"LT,AT",22.0,33,27,1.925,21.4,6.0,7.0,13.0,6.0,0.0,0.0,3.0,0.0,6.0,6.0,5.6,115.0,80.0,121.0,116.0,28.0,33.0,61.0,28.0,61.0,28.0,26.0,54.0,28.0,54.0,Partidas,Total de adversários,,,26.7,38.0,38.0,3.42,38.0,64.0,168.0,183.0,122.0,678.0,8.0,10.0,20.0,6.0,158.0,5.0,5.0,0.0,0.0,0.0,,Brahim Díaz,ma MAR,"LT,AT",22.0,21.4,32.0,15.0,5.0,22.0,5.0,5.0,15.0,333.0,10.0,11.0,0.0,11.0,7.0,39.0,6.0,0.0,Partidas
Pierre Kalulu,fr FRA,ZG,22.0,34,26,2.548,28.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,1.2,28.0,52.0,138.0,43.0,4.0,0.0,4.0,4.0,4.0,5.0,4.0,10.0,5.0,10.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Pierre Kalulu,fr FRA,ZG,22.0,28.3,57.0,39.0,33.0,21.0,3.0,28.0,42.0,667.0,14.0,41.0,17.0,24.0,41.0,98.0,56.0,1.0,Partidas
Olivier Giroud,fr FRA,AT,35.0,33,25,2.139,23.8,13.0,5.0,18.0,10.0,3.0,3.0,8.0,1.0,12.7,10.4,4.0,144.0,12.0,36.0,152.0,55.0,21.0,76.0,42.0,63.0,53.0,17.0,70.0,44.0,61.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Olivier Giroud,fr FRA,AT,35.0,23.8,8.0,5.0,2.0,4.0,2.0,2.0,10.0,200.0,8.0,11.0,3.0,8.0,3.0,11.0,23.0,0.0,Partidas
Ismaël Bennacer,dz ALG,LT,24.0,28,24,2.007,22.3,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,3.3,43.0,30.0,132.0,52.0,9.0,9.0,18.0,9.0,18.0,4.0,15.0,19.0,4.0,19.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Ismaël Bennacer,dz ALG,LT,24.0,22.3,59.0,33.0,26.0,31.0,2.0,30.0,51.0,588.0,21.0,25.0,7.0,18.0,26.0,85.0,16.0,1.0,Partidas
Mike Maignan,fr FRA,G,27.0,22,22,1.978,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Mike Maignan,fr FRA,G,27.0,22.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,1.0,Partidas
Davide Calabria,it ITA,ZG,25.0,25,21,1.69,18.8,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,1.7,29.0,26.0,108.0,80.0,5.0,21.0,27.0,5.0,27.0,6.0,9.0,15.0,6.0,15.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Davide Calabria,it ITA,ZG,25.0,18.8,71.0,44.0,31.0,32.0,8.0,38.0,61.0,623.0,23.0,22.0,7.0,15.0,25.0,96.0,34.0,0.0,Partidas
Junior Messias,br BRA,"AT,ZG",31.0,25,19,1.498,16.6,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,2.3,2.3,0.8,30.0,45.0,54.0,137.0,30.0,12.0,42.0,30.0,42.0,14.0,5.0,18.0,14.0,18.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Junior Messias,br BRA,"AT,ZG",31.0,16.6,24.0,18.0,9.0,9.0,6.0,5.0,19.0,263.0,14.0,20.0,4.0,16.0,7.0,31.0,28.0,0.0,Partidas
Rade Krunić,ba BIH,LT,28.0,23,18,1.657,18.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,1.1,22.0,31.0,73.0,21.0,0.0,5.0,5.0,0.0,5.0,6.0,6.0,12.0,6.0,12.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Rade Krunić,ba BIH,LT,28.0,18.4,40.0,28.0,18.0,18.0,4.0,16.0,50.0,320.0,34.0,31.0,11.0,20.0,16.0,56.0,21.0,0.0,Partidas
Ciprian Tătărușanu,ro ROU,G,36.0,16,16,1.44,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,3.0,3.0,0.0,3.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Ciprian Tătărușanu,ro ROU,G,36.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,Partidas
Malick Thiaw,de GER,ZG,20.0,20,15,1.362,15.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.2,10.0,6.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,6.0,7.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Malick Thiaw,de GER,ZG,20.0,15.1,31.0,26.0,22.0,9.0,0.0,11.0,20.0,550.0,9.0,11.0,5.0,6.0,12.0,43.0,65.0,1.0,Partidas
Alexis Saelemaekers,be BEL,"AT,ZG",23.0,30,14,1.403,15.6,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,2.5,2.5,4.1,66.0,52.0,52.0,143.0,13.0,19.0,32.0,13.0,32.0,16.0,27.0,42.0,16.0,42.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Alexis Saelemaekers,be BEL,"AT,ZG",23.0,15.6,31.0,20.0,12.0,16.0,3.0,19.0,41.0,463.0,22.0,13.0,1.0,12.0,19.0,50.0,11.0,0.0,Partidas
Simon Kjær,dk DEN,ZG,33.0,17,12,1.007,11.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Simon Kjær,dk DEN,ZG,33.0,11.2,15.0,8.0,9.0,6.0,0.0,7.0,11.0,636.0,4.0,14.0,11.0,3.0,9.0,24.0,35.0,1.0,Partidas
Divock Origi,be BEL,AT,27.0,27,10,1.027,11.4,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.1,2.1,1.2,33.0,24.0,18.0,79.0,18.0,9.0,26.0,18.0,26.0,19.0,10.0,29.0,19.0,29.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Divock Origi,be BEL,AT,27.0,11.4,10.0,5.0,4.0,3.0,3.0,5.0,10.0,500.0,5.0,6.0,2.0,4.0,0.0,10.0,13.0,0.0,Partidas
Ante Rebić,hr CRO,"AT,LT",28.0,23,10,980.0,10.9,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,3.5,3.5,2.0,55.0,17.0,29.0,92.0,28.0,18.0,46.0,28.0,46.0,32.0,19.0,50.0,32.0,50.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Ante Rebić,hr CRO,"AT,LT",28.0,10.9,10.0,8.0,1.0,3.0,6.0,3.0,11.0,273.0,8.0,6.0,1.0,5.0,1.0,11.0,5.0,0.0,Partidas
Charles De Ketelaere,be BEL,"LT,AT",21.0,32,9,1.116,12.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,40.0,45.0,59.0,69.0,0.0,8.0,8.0,0.0,8.0,16.0,16.0,32.0,16.0,32.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Charles De Ketelaere,be BEL,"LT,AT",21.0,12.4,26.0,12.0,7.0,14.0,5.0,13.0,30.0,433.0,17.0,14.0,2.0,12.0,4.0,30.0,9.0,0.0,Partidas
