Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Matteo Pessina,it ITA,LT,26.0,37,37,3.222,35.8,6.0,3.0,9.0,2.0,4.0,5.0,5.0,1.0,6.3,2.4,1.1,35.0,69.0,190.0,53.0,17.0,8.0,25.0,6.0,14.0,18.0,3.0,21.0,7.0,10.0,Partidas,Michele Di Gregorio,it ITA,G,26.0,33.0,33.0,2.872,31.9,35.0,110.0,159.0,122.0,799.0,11.0,11.0,11.0,12.0,364.0,5.0,3.0,2.0,0.0,400.0,Partidas,Matteo Pessina,it ITA,LT,26.0,35.8,44.0,25.0,20.0,20.0,4.0,23.0,49.0,469.0,26.0,29.0,11.0,18.0,27.0,71.0,46.0,1.0,Partidas
Andrea Colpani,it ITA,"LT,AT",24.0,38,36,2.657,29.5,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,4.8,4.8,5.0,98.0,90.0,120.0,193.0,27.0,14.0,41.0,27.0,41.0,16.0,17.0,33.0,16.0,33.0,Partidas,Alessandro Sorrentino,it ITA,G,21.0,7.0,5.0,548.0,6.1,16.0,263.0,32.0,16.0,625.0,0.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,Partidas,Andrea Colpani,it ITA,"LT,AT",24.0,29.5,25.0,15.0,6.0,13.0,6.0,11.0,20.0,550.0,9.0,11.0,4.0,7.0,14.0,39.0,14.0,0.0,Partidas
Michele Di Gregorio,it ITA,G,26.0,33,33,2.872,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Total do time,,,26.8,38.0,38.0,3.42,38.0,51.0,134.0,191.0,138.0,770.0,11.0,12.0,15.0,12.0,316.0,9.0,7.0,2.0,0.0,222.0,,Michele Di Gregorio,it ITA,G,26.0,31.9,1.0,0.0,1.0,0.0,0.0,1.0,4.0,250.0,3.0,1.0,0.0,1.0,1.0,2.0,10.0,2.0,Partidas
Pablo Marí,es ESP,ZG,29.0,34,30,2.615,29.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.3,7.0,2.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,Partidas,Total de adversários,,,26.6,38.0,38.0,3.42,38.0,39.0,103.0,128.0,89.0,727.0,15.0,12.0,11.0,14.0,368.0,5.0,4.0,1.0,0.0,200.0,,Pablo Marí,es ESP,ZG,29.0,29.1,41.0,25.0,34.0,7.0,0.0,22.0,34.0,647.0,12.0,40.0,25.0,15.0,37.0,78.0,115.0,1.0,Partidas
Roberto Gagliardini,it ITA,"LT,ZG",29.0,33,29,2.36,26.2,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,2.9,2.9,1.7,46.0,38.0,120.0,36.0,4.0,8.0,11.0,4.0,11.0,11.0,6.0,18.0,11.0,18.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Gagliardini,it ITA,"LT,ZG",29.0,26.2,61.0,30.0,27.0,25.0,9.0,31.0,50.0,620.0,19.0,30.0,11.0,19.0,31.0,92.0,38.0,0.0,Partidas
Dany Mota,pt POR,"AT,LT",25.0,34,24,2.049,22.8,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,3.6,3.6,3.0,65.0,112.0,57.0,152.0,18.0,13.0,31.0,18.0,31.0,16.0,13.0,29.0,16.0,29.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Dany Mota,pt POR,"AT,LT",25.0,22.8,13.0,7.0,2.0,5.0,6.0,8.0,17.0,471.0,9.0,4.0,1.0,3.0,2.0,15.0,18.0,0.0,Partidas
Luca Caldirola,it ITA,ZG,32.0,29,23,2.141,23.8,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.5,0.5,0.6,11.0,10.0,56.0,9.0,4.0,4.0,8.0,4.0,8.0,2.0,3.0,4.0,2.0,4.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Luca Caldirola,it ITA,ZG,32.0,23.8,25.0,14.0,19.0,4.0,2.0,13.0,22.0,591.0,9.0,26.0,17.0,9.0,29.0,54.0,53.0,0.0,Partidas
Samuele Birindelli,it ITA,ZG,24.0,35,22,2.013,22.4,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.1,1.1,2.9,40.0,63.0,70.0,122.0,0.0,9.0,9.0,0.0,9.0,5.0,13.0,18.0,5.0,18.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Samuele Birindelli,it ITA,ZG,24.0,22.4,28.0,19.0,16.0,7.0,5.0,14.0,25.0,560.0,11.0,30.0,11.0,19.0,18.0,46.0,48.0,0.0,Partidas
Giorgos Kyriakopoulos,gr GRE,ZG,27.0,28,20,1.712,19.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,1.4,26.0,64.0,70.0,94.0,0.0,16.0,16.0,0.0,16.0,6.0,7.0,14.0,6.0,14.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Giorgos Kyriakopoulos,gr GRE,ZG,27.0,19.0,19.0,10.0,16.0,3.0,0.0,11.0,24.0,458.0,13.0,18.0,1.0,17.0,13.0,32.0,28.0,0.0,Partidas
