Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Stanislav Lobotka,sk SVK,LT,28.0,38,38,3.282,36.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.3,19.0,29.0,188.0,34.0,0.0,3.0,3.0,0.0,3.0,2.0,4.0,5.0,2.0,5.0,Partidas,Alex Meret,it ITA,G,26.0,31.0,31.0,2.773,30.8,40.0,130.0,104.0,62.0,635.0,10.0,13.0,8.0,5.0,161.0,4.0,2.0,2.0,0.0,500.0,Partidas,Stanislav Lobotka,sk SVK,LT,28.0,36.5,61.0,39.0,18.0,30.0,13.0,24.0,60.0,400.0,36.0,30.0,8.0,22.0,30.0,91.0,29.0,0.0,Partidas
Giovanni Di Lorenzo,it ITA,ZG,29.0,36,36,3.234,35.9,1.0,6.0,7.0,1.0,0.0,0.0,6.0,0.0,3.1,3.1,4.9,80.0,95.0,304.0,250.0,3.0,17.0,19.0,3.0,19.0,9.0,14.0,22.0,9.0,22.0,Partidas,Pierluigi Gollini,it ITA,G,28.0,7.0,7.0,630.0,7.0,8.0,114.0,24.0,16.0,667.0,3.0,1.0,3.0,1.0,143.0,0.0,0.0,0.0,0.0,,Partidas,Giovanni Di Lorenzo,it ITA,ZG,29.0,35.9,58.0,36.0,26.0,26.0,6.0,32.0,68.0,471.0,36.0,43.0,16.0,27.0,24.0,82.0,45.0,0.0,Partidas
Andre-Frank Zambo Anguissa,cm CMR,LT,27.0,34,32,2.786,31.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,3.4,3.3,3.0,63.0,43.0,163.0,139.0,0.0,6.0,6.0,0.0,6.0,11.0,10.0,21.0,11.0,20.0,Partidas,Nikita Contini Baranovsky,it ITA,G,27.0,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Partidas,Andre-Frank Zambo Anguissa,cm CMR,LT,27.0,31.0,61.0,33.0,21.0,29.0,11.0,34.0,69.0,493.0,35.0,40.0,5.0,35.0,28.0,89.0,19.0,1.0,Partidas
Khvicha Kvaratskhelia,ge GEO,AT,22.0,34,32,2.737,30.4,11.0,6.0,17.0,11.0,0.0,0.0,8.0,0.0,11.1,11.1,6.8,179.0,184.0,89.0,266.0,36.0,20.0,56.0,36.0,56.0,37.0,23.0,59.0,36.0,59.0,Partidas,Total do time,,,27.2,38.0,38.0,3.42,38.0,48.0,126.0,128.0,78.0,641.0,13.0,14.0,11.0,7.0,184.0,4.0,2.0,2.0,0.0,500.0,,Khvicha Kvaratskhelia,ge GEO,AT,22.0,30.4,42.0,21.0,11.0,19.0,12.0,15.0,49.0,306.0,34.0,15.0,1.0,14.0,13.0,55.0,9.0,0.0,Partidas
Alex Meret,it ITA,G,26.0,31,31,2.773,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Total de adversários,,,26.5,38.0,38.0,3.42,38.0,55.0,145.0,204.0,148.0,760.0,11.0,14.0,13.0,13.0,342.0,10.0,6.0,2.0,2.0,250.0,,Alex Meret,it ITA,G,26.0,30.8,1.0,0.0,1.0,0.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,Partidas
Matteo Politano,it ITA,AT,29.0,37,31,2.36,26.2,8.0,7.0,15.0,6.0,2.0,3.0,2.0,1.0,7.1,4.8,6.6,114.0,113.0,164.0,216.0,31.0,27.0,57.0,23.0,50.0,27.0,25.0,52.0,18.0,43.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Matteo Politano,it ITA,AT,29.0,26.2,19.0,8.0,8.0,7.0,4.0,11.0,34.0,324.0,23.0,9.0,1.0,8.0,15.0,34.0,11.0,1.0,Partidas
Amir Rrahmani,xk KVX,ZG,29.0,30,30,2.6,28.9,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,0.9,31.0,19.0,113.0,4.0,10.0,0.0,10.0,10.0,10.0,8.0,3.0,11.0,8.0,11.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Amir Rrahmani,xk KVX,ZG,29.0,28.9,33.0,27.0,17.0,14.0,2.0,16.0,32.0,500.0,16.0,24.0,10.0,14.0,20.0,53.0,90.0,0.0,Partidas
Juan Jesus,br BRA,ZG,32.0,24,23,2.116,23.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,0.3,16.0,6.0,82.0,2.0,4.0,0.0,4.0,4.0,4.0,6.0,1.0,7.0,6.0,7.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Juan Jesus,br BRA,ZG,32.0,23.5,42.0,19.0,28.0,12.0,2.0,23.0,33.0,697.0,10.0,23.0,12.0,11.0,23.0,65.0,67.0,1.0,Partidas
Piotr Zieliński,pl POL,LT,29.0,28,23,1.924,21.4,3.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,2.6,1.8,3.4,52.0,38.0,131.0,88.0,14.0,9.0,23.0,9.0,19.0,12.0,16.0,28.0,8.0,24.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Piotr Zieliński,pl POL,LT,29.0,21.4,23.0,15.0,6.0,13.0,4.0,12.0,24.0,500.0,12.0,12.0,1.0,11.0,9.0,32.0,15.0,0.0,Partidas
