Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Bryan Cristante,it ITA,"LT,ZG",28.0,37,37,3.289,36.5,3.0,4.0,7.0,3.0,0.0,0.0,8.0,0.0,4.0,4.0,2.9,69.0,47.0,234.0,80.0,8.0,11.0,19.0,8.0,19.0,11.0,8.0,19.0,11.0,19.0,Partidas,Rui Patrício,pt POR,G,35.0,23.0,23.0,2.07,23.0,27.0,117.0,74.0,49.0,662.0,11.0,5.0,7.0,6.0,261.0,3.0,2.0,0.0,1.0,0.0,Partidas,Bryan Cristante,it ITA,"LT,ZG",28.0,36.5,72.0,41.0,33.0,28.0,11.0,28.0,50.0,560.0,22.0,36.0,6.0,30.0,25.0,97.0,55.0,2.0,Partidas
Gianluca Mancini,it ITA,ZG,27.0,36,34,2.869,31.9,4.0,1.0,5.0,4.0,0.0,0.0,9.0,0.0,1.9,1.9,1.1,30.0,38.0,139.0,13.0,13.0,3.0,16.0,13.0,16.0,6.0,4.0,10.0,6.0,10.0,Partidas,Mile Svilar,rs SRB,G,23.0,15.0,15.0,1.35,15.0,19.0,127.0,77.0,58.0,766.0,7.0,4.0,4.0,5.0,333.0,2.0,1.0,1.0,0.0,500.0,Partidas,Gianluca Mancini,it ITA,ZG,27.0,31.9,34.0,20.0,21.0,11.0,2.0,11.0,27.0,407.0,16.0,38.0,26.0,12.0,36.0,70.0,77.0,1.0,Partidas
Leandro Paredes,ar ARG,LT,29.0,34,32,2.634,29.3,3.0,5.0,8.0,0.0,3.0,3.0,15.0,1.0,3.3,1.0,2.3,32.0,36.0,214.0,19.0,10.0,17.0,27.0,0.0,17.0,11.0,8.0,19.0,3.0,11.0,Partidas,Total do time,,,27.7,38.0,38.0,3.42,38.0,46.0,121.0,151.0,107.0,715.0,18.0,9.0,11.0,11.0,289.0,5.0,3.0,1.0,1.0,250.0,,Leandro Paredes,ar ARG,LT,29.0,29.3,57.0,36.0,30.0,22.0,5.0,33.0,77.0,429.0,44.0,26.0,7.0,19.0,29.0,86.0,43.0,1.0,Partidas
Romelu Lukaku,be BEL,AT,30.0,32,30,2.641,29.3,13.0,3.0,16.0,13.0,0.0,1.0,5.0,1.0,9.8,9.0,2.4,114.0,37.0,37.0,234.0,44.0,10.0,55.0,44.0,55.0,33.0,8.0,42.0,31.0,39.0,Partidas,Total de adversários,,,26.4,38.0,38.0,3.42,38.0,65.0,171.0,154.0,89.0,649.0,11.0,9.0,18.0,5.0,132.0,12.0,11.0,1.0,0.0,83.0,,Romelu Lukaku,be BEL,AT,30.0,29.3,6.0,5.0,1.0,2.0,3.0,2.0,4.0,500.0,2.0,7.0,1.0,6.0,0.0,6.0,19.0,1.0,Partidas
Diego Llorente,es ESP,ZG,29.0,29,27,2.17,24.1,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,0.6,9.0,20.0,75.0,5.0,4.0,4.0,8.0,4.0,8.0,1.0,2.0,4.0,1.0,4.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Diego Llorente,es ESP,ZG,29.0,24.1,31.0,19.0,20.0,10.0,1.0,11.0,24.0,458.0,13.0,40.0,27.0,13.0,22.0,53.0,79.0,0.0,Partidas
Obite N'Dicka,ci CIV,ZG,23.0,25,25,2.168,24.1,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,20.0,26.0,87.0,11.0,0.0,12.0,12.0,0.0,12.0,4.0,4.0,9.0,4.0,9.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Obite N'Dicka,ci CIV,ZG,23.0,24.1,32.0,18.0,12.0,19.0,1.0,12.0,20.0,600.0,8.0,30.0,16.0,14.0,16.0,48.0,75.0,0.0,Partidas
Paulo Dybala,ar ARG,"AT,LT",29.0,28,25,1.959,21.8,13.0,9.0,22.0,6.0,7.0,7.0,3.0,0.0,10.6,5.1,4.3,94.0,79.0,122.0,167.0,60.0,41.0,101.0,28.0,69.0,49.0,20.0,68.0,23.0,43.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Paulo Dybala,ar ARG,"AT,LT",29.0,21.8,22.0,13.0,3.0,10.0,9.0,2.0,18.0,111.0,16.0,12.0,0.0,12.0,3.0,25.0,6.0,1.0,Partidas
Rui Patrício,pt POR,G,35.0,23,23,2.07,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Rui Patrício,pt POR,G,35.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,Partidas
Lorenzo Pellegrini,it ITA,LT,27.0,29,20,1.859,20.7,8.0,3.0,11.0,7.0,1.0,1.0,7.0,0.0,4.8,4.0,2.4,64.0,43.0,94.0,97.0,39.0,15.0,53.0,34.0,48.0,23.0,12.0,35.0,19.0,31.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Pellegrini,it ITA,LT,27.0,20.7,35.0,20.0,14.0,16.0,5.0,17.0,51.0,333.0,34.0,28.0,5.0,23.0,20.0,55.0,22.0,0.0,Partidas
