Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Norbert Gyömbér,sk SVK,ZG,29.0,31,30,2.563,28.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.6,12.0,5.0,66.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,Partidas,Vid Belec,si SVN,G,31.0,23.0,21.0,1.938,21.5,49.0,228.0,135.0,87.0,659.0,3.0,2.0,16.0,1.0,48.0,5.0,3.0,1.0,1.0,250.0,Partidas,Norbert Gyömbér,sk SVK,ZG,29.0,28.5,53.0,32.0,40.0,11.0,2.0,33.0,50.0,660.0,17.0,38.0,24.0,14.0,44.0,97.0,126.0,1.0,Partidas
Lassana Coulibaly,ml MLI,LT,25.0,31,29,2.332,25.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.3,12.0,39.0,82.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,4.0,5.0,Partidas,Luigi Sepe,it ITA,G,30.0,16.0,16.0,1.392,15.5,24.0,155.0,78.0,54.0,731.0,4.0,8.0,4.0,1.0,63.0,3.0,3.0,0.0,0.0,0.0,Partidas,Lassana Coulibaly,ml MLI,LT,25.0,25.9,58.0,32.0,29.0,26.0,3.0,24.0,62.0,387.0,38.0,40.0,13.0,27.0,22.0,80.0,27.0,0.0,Partidas
Luca Ranieri,it ITA,ZG,22.0,27,25,2.103,23.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.6,0.6,1.0,16.0,37.0,76.0,69.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,7.0,3.0,7.0,Partidas,Vincenzo Fiorillo,it ITA,G,31.0,1.0,1.0,90.0,1.0,5.0,500.0,8.0,3.0,375.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Partidas,Luca Ranieri,it ITA,ZG,22.0,23.4,38.0,21.0,23.0,11.0,4.0,19.0,33.0,576.0,14.0,18.0,8.0,10.0,22.0,60.0,67.0,0.0,Partidas
Milan Đurić,ba BIH,AT,31.0,33,23,2.165,24.1,5.0,4.0,9.0,4.0,1.0,1.0,6.0,0.0,5.3,4.5,3.3,77.0,7.0,35.0,100.0,21.0,17.0,37.0,17.0,33.0,22.0,14.0,35.0,19.0,32.0,Partidas,Total do time,,,27.7,38.0,38.0,3.42,38.0,78.0,205.0,221.0,144.0,674.0,7.0,10.0,21.0,2.0,53.0,8.0,6.0,1.0,1.0,143.0,,Milan Đurić,ba BIH,AT,31.0,24.1,1.0,1.0,0.0,1.0,0.0,1.0,3.0,333.0,2.0,6.0,1.0,5.0,2.0,3.0,32.0,0.0,Partidas
Vid Belec,si SVN,G,31.0,23,21,1.938,21.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Total de adversários,,,26.8,38.0,38.0,3.42,38.0,33.0,87.0,135.0,102.0,785.0,21.0,10.0,7.0,16.0,421.0,5.0,4.0,1.0,0.0,200.0,,Vid Belec,si SVN,G,31.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,Partidas
Federico Bonazzoli,it ITA,"AT,LT",24.0,32,19,1.866,20.7,10.0,0.0,10.0,8.0,2.0,2.0,6.0,0.0,7.5,5.9,1.1,70.0,25.0,46.0,85.0,48.0,0.0,48.0,39.0,39.0,36.0,5.0,41.0,28.0,34.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Federico Bonazzoli,it ITA,"AT,LT",24.0,20.7,24.0,12.0,9.0,8.0,7.0,6.0,25.0,240.0,19.0,17.0,1.0,16.0,6.0,30.0,7.0,0.0,Partidas
Federico Fazio,ar ARG,ZG,34.0,16,16,1.434,15.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.5,1.5,0.4,18.0,19.0,40.0,6.0,6.0,0.0,6.0,6.0,6.0,9.0,2.0,12.0,9.0,12.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Federico Fazio,ar ARG,ZG,34.0,15.9,17.0,11.0,10.0,6.0,1.0,9.0,12.0,750.0,3.0,21.0,16.0,5.0,27.0,44.0,67.0,1.0,Partidas
Franck Ribéry,fr FRA,"LT,AT",38.0,23,16,1.421,15.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.9,0.9,2.9,38.0,65.0,71.0,95.0,0.0,13.0,13.0,0.0,13.0,6.0,18.0,24.0,6.0,24.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Franck Ribéry,fr FRA,"LT,AT",38.0,15.8,17.0,10.0,6.0,6.0,5.0,8.0,13.0,615.0,5.0,12.0,0.0,12.0,3.0,20.0,1.0,0.0,Partidas
Luigi Sepe,it ITA,G,30.0,16,16,1.392,15.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Luigi Sepe,it ITA,G,30.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,Partidas
