Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Emil Audero,it ITA,G,23.0,37,37,3.33,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Partidas,Emil Audero,it ITA,G,23.0,37.0,37.0,3.33,37.0,54.0,146.0,173.0,118.0,728.0,14.0,7.0,16.0,6.0,162.0,9.0,7.0,2.0,0.0,222.0,Partidas,Emil Audero,it ITA,G,23.0,37.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,1.0,2.0,16.0,0.0,Partidas
Tommaso Augello,it ITA,ZG,25.0,37,37,3.216,35.7,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.3,0.3,3.9,43.0,105.0,157.0,159.0,3.0,8.0,11.0,3.0,11.0,1.0,11.0,12.0,1.0,12.0,Partidas,Karlo Letica,hr CRO,G,23.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,1000.0,1.0,0.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,,Partidas,Tommaso Augello,it ITA,ZG,25.0,35.7,42.0,30.0,27.0,10.0,5.0,23.0,39.0,590.0,16.0,22.0,2.0,20.0,32.0,74.0,76.0,1.0,Partidas
Morten Thorsby,no NOR,LT,24.0,33,29,2.648,29.4,3.0,1.0,4.0,3.0,0.0,0.0,10.0,0.0,2.9,2.9,1.1,40.0,19.0,80.0,55.0,10.0,3.0,14.0,10.0,14.0,10.0,4.0,14.0,10.0,14.0,Partidas,Total do time,,,27.9,38.0,38.0,3.42,38.0,54.0,142.0,174.0,119.0,730.0,15.0,7.0,16.0,7.0,184.0,9.0,7.0,2.0,0.0,222.0,,Morten Thorsby,no NOR,LT,24.0,29.4,76.0,42.0,32.0,36.0,8.0,20.0,60.0,333.0,40.0,51.0,16.0,35.0,25.0,101.0,30.0,0.0,Partidas
Bartosz Bereszyński,pl POL,ZG,28.0,31,29,2.607,29.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.7,8.0,42.0,103.0,81.0,3.0,0.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,Partidas,Total de adversários,,,27.1,38.0,38.0,3.42,38.0,52.0,137.0,140.0,87.0,664.0,16.0,7.0,15.0,8.0,211.0,6.0,5.0,1.0,0.0,167.0,,Bartosz Bereszyński,pl POL,ZG,28.0,29.0,66.0,44.0,37.0,22.0,7.0,41.0,73.0,562.0,32.0,40.0,20.0,20.0,42.0,108.0,88.0,0.0,Partidas
Jakub Jankto,cz CZE,LT,24.0,35,29,2.409,26.8,6.0,3.0,9.0,6.0,0.0,0.0,6.0,0.0,4.6,4.6,3.5,81.0,52.0,88.0,158.0,22.0,11.0,34.0,22.0,34.0,17.0,13.0,30.0,17.0,30.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Jakub Jankto,cz CZE,LT,24.0,26.8,28.0,17.0,14.0,7.0,7.0,11.0,35.0,314.0,24.0,16.0,1.0,15.0,24.0,52.0,34.0,0.0,Partidas
Omar Colley,gm GAM,ZG,27.0,29,28,2.591,28.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.1,1.1,0.1,12.0,12.0,87.0,0.0,7.0,0.0,7.0,7.0,7.0,4.0,0.0,4.0,4.0,4.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Omar Colley,gm GAM,ZG,27.0,28.8,28.0,16.0,19.0,8.0,1.0,13.0,23.0,565.0,10.0,43.0,29.0,14.0,68.0,96.0,133.0,1.0,Partidas
Antonio Candreva,it ITA,LT,33.0,35,28,2.505,27.8,5.0,8.0,13.0,3.0,2.0,2.0,1.0,0.0,4.9,3.4,5.9,92.0,122.0,196.0,180.0,18.0,29.0,47.0,11.0,40.0,18.0,21.0,39.0,12.0,33.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Candreva,it ITA,LT,33.0,27.8,28.0,19.0,17.0,9.0,2.0,21.0,53.0,396.0,32.0,24.0,3.0,21.0,9.0,37.0,27.0,1.0,Partidas
Albin Ekdal,se SWE,LT,31.0,32,26,2.299,25.5,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,0.9,0.9,0.9,18.0,22.0,95.0,18.0,8.0,4.0,12.0,8.0,12.0,4.0,4.0,7.0,4.0,7.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Albin Ekdal,se SWE,LT,31.0,25.5,56.0,29.0,21.0,32.0,3.0,23.0,65.0,354.0,42.0,31.0,12.0,19.0,49.0,105.0,35.0,0.0,Partidas
Maya Yoshida,jp JPN,ZG,31.0,32,25,2.274,25.3,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.8,1.8,0.8,26.0,6.0,55.0,3.0,4.0,8.0,12.0,4.0,12.0,7.0,3.0,10.0,7.0,10.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Maya Yoshida,jp JPN,ZG,31.0,25.3,17.0,4.0,10.0,7.0,0.0,7.0,13.0,538.0,6.0,45.0,34.0,11.0,57.0,74.0,93.0,1.0,Partidas
Fabio Quagliarella,it ITA,AT,37.0,33,25,2.204,24.5,13.0,1.0,14.0,11.0,2.0,3.0,1.0,0.0,11.8,9.4,1.4,109.0,20.0,46.0,157.0,53.0,4.0,57.0,45.0,49.0,48.0,6.0,54.0,38.0,44.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Fabio Quagliarella,it ITA,AT,37.0,24.5,12.0,8.0,4.0,4.0,4.0,2.0,19.0,105.0,17.0,14.0,1.0,13.0,7.0,19.0,10.0,0.0,Partidas
Lorenzo Tonelli,it ITA,ZG,30.0,23,21,1.782,19.8,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,2.0,2.0,0.0,20.0,2.0,42.0,1.0,5.0,0.0,5.0,5.0,5.0,10.0,0.0,10.0,10.0,10.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Tonelli,it ITA,ZG,30.0,19.8,33.0,18.0,20.0,11.0,2.0,10.0,21.0,476.0,11.0,21.0,14.0,7.0,25.0,58.0,94.0,1.0,Partidas
