Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Antonio Candreva,it ITA,"LT,AT",34.0,36,36,3.119,34.7,7.0,10.0,17.0,6.0,1.0,2.0,6.0,1.0,5.8,4.2,7.2,114.0,105.0,201.0,223.0,20.0,29.0,49.0,17.0,46.0,17.0,21.0,38.0,12.0,33.0,Partidas,Emil Audero,it ITA,G,24.0,29.0,29.0,2.56,28.4,48.0,169.0,130.0,82.0,638.0,8.0,5.0,16.0,5.0,172.0,2.0,1.0,1.0,0.0,500.0,Partidas,Antonio Candreva,it ITA,"LT,AT",34.0,34.7,27.0,16.0,9.0,11.0,7.0,19.0,55.0,345.0,36.0,23.0,2.0,21.0,33.0,60.0,19.0,0.0,Partidas
Bartosz Bereszyński,pl POL,ZG,29.0,35,35,2.946,32.7,0.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,0.5,0.5,1.8,23.0,52.0,105.0,108.0,0.0,9.0,9.0,0.0,9.0,1.0,5.0,7.0,1.0,7.0,Partidas,Wladimiro Falcone,it ITA,G,26.0,10.0,9.0,855.0,9.5,14.0,147.0,54.0,41.0,759.0,2.0,1.0,6.0,2.0,222.0,1.0,1.0,0.0,0.0,0.0,Partidas,Bartosz Bereszyński,pl POL,ZG,29.0,32.7,64.0,38.0,34.0,25.0,5.0,37.0,80.0,463.0,43.0,38.0,12.0,26.0,42.0,106.0,73.0,1.0,Partidas
Morten Thorsby,no NOR,LT,25.0,35,35,2.943,32.7,3.0,1.0,4.0,3.0,0.0,0.0,10.0,0.0,3.2,3.2,1.1,43.0,18.0,88.0,51.0,9.0,3.0,12.0,9.0,12.0,10.0,3.0,13.0,10.0,13.0,Partidas,Nicola Ravaglia,it ITA,G,32.0,1.0,0.0,5.0,0.1,1.0,1800.0,1.0,0.0,1000.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,Partidas,Morten Thorsby,no NOR,LT,25.0,32.7,46.0,26.0,15.0,23.0,8.0,28.0,56.0,500.0,28.0,37.0,12.0,25.0,25.0,71.0,39.0,0.0,Partidas
Francesco Caputo,it ITA,AT,33.0,36,31,2.79,31.0,11.0,3.0,14.0,11.0,0.0,1.0,0.0,0.0,10.3,9.3,3.2,125.0,30.0,32.0,196.0,35.0,10.0,45.0,35.0,45.0,33.0,10.0,43.0,30.0,40.0,Partidas,Total do time,,,29.0,38.0,38.0,3.42,38.0,63.0,166.0,185.0,123.0,676.0,10.0,6.0,22.0,7.0,184.0,4.0,3.0,1.0,0.0,250.0,,Francesco Caputo,it ITA,AT,33.0,31.0,5.0,2.0,1.0,3.0,1.0,1.0,6.0,167.0,5.0,5.0,0.0,5.0,2.0,7.0,10.0,0.0,Partidas
Omar Colley,gm GAM,ZG,28.0,32,31,2.745,30.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.2,1.2,0.0,12.0,12.0,83.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,Partidas,Total de adversários,,,26.7,38.0,38.0,3.42,38.0,46.0,121.0,122.0,78.0,639.0,22.0,6.0,10.0,12.0,316.0,4.0,2.0,2.0,0.0,500.0,,Omar Colley,gm GAM,ZG,28.0,30.5,47.0,36.0,32.0,14.0,1.0,22.0,32.0,688.0,10.0,31.0,19.0,12.0,80.0,127.0,135.0,2.0,Partidas
Emil Audero,it ITA,G,24.0,29,29,2.56,28.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Emil Audero,it ITA,G,24.0,28.4,3.0,1.0,3.0,0.0,0.0,3.0,5.0,600.0,2.0,0.0,0.0,0.0,2.0,5.0,17.0,2.0,Partidas
Tommaso Augello,it ITA,ZG,26.0,36,25,2.395,26.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.9,23.0,60.0,90.0,100.0,4.0,4.0,8.0,4.0,8.0,1.0,7.0,9.0,1.0,9.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Tommaso Augello,it ITA,ZG,26.0,26.6,36.0,20.0,22.0,8.0,6.0,17.0,29.0,586.0,12.0,19.0,4.0,15.0,29.0,65.0,68.0,1.0,Partidas
Alex Ferrari,it ITA,ZG,27.0,23,20,1.643,18.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.0,6.0,7.0,39.0,5.0,5.0,0.0,5.0,5.0,5.0,3.0,0.0,3.0,3.0,3.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Alex Ferrari,it ITA,ZG,27.0,18.3,40.0,22.0,28.0,9.0,3.0,19.0,33.0,576.0,14.0,31.0,22.0,9.0,39.0,79.0,63.0,1.0,Partidas
Maya Yoshida,jp JPN,ZG,32.0,26,19,1.823,20.3,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.9,29.0,7.0,57.0,5.0,10.0,15.0,25.0,10.0,25.0,5.0,9.0,14.0,5.0,14.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Maya Yoshida,jp JPN,ZG,32.0,20.3,17.0,10.0,8.0,9.0,0.0,8.0,15.0,533.0,7.0,27.0,20.0,7.0,28.0,45.0,72.0,1.0,Partidas
Fabio Quagliarella,it ITA,AT,38.0,33,19,1.664,18.5,4.0,2.0,6.0,3.0,1.0,1.0,2.0,0.0,4.3,3.5,1.6,51.0,17.0,39.0,140.0,22.0,11.0,32.0,16.0,27.0,23.0,9.0,32.0,19.0,28.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Fabio Quagliarella,it ITA,AT,38.0,18.5,6.0,2.0,2.0,2.0,2.0,2.0,15.0,133.0,13.0,14.0,1.0,13.0,3.0,9.0,12.0,0.0,Partidas
