Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Andrea Consigli,it ITA,G,33.0,37,37,3.33,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Andrea Consigli,it ITA,G,33.0,37.0,37.0,3.33,37.0,56.0,151.0,185.0,129.0,719.0,17.0,10.0,10.0,7.0,189.0,5.0,4.0,1.0,0.0,200.0,Partidas,Andrea Consigli,it ITA,G,33.0,37.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1000.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,4.0,Partidas
Gian Marco Ferrari,it ITA,ZG,28.0,34,33,3.014,33.5,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,1.2,32.0,38.0,187.0,18.0,0.0,12.0,12.0,0.0,12.0,6.0,4.0,10.0,6.0,10.0,Partidas,Gianluca Pegolo,it ITA,G,39.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,1.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,,Partidas,Gian Marco Ferrari,it ITA,ZG,28.0,33.5,32.0,20.0,15.0,14.0,3.0,10.0,23.0,435.0,13.0,46.0,37.0,9.0,50.0,82.0,100.0,1.0,Partidas
Manuel Locatelli,it ITA,LT,22.0,34,32,2.883,32.0,4.0,2.0,6.0,2.0,2.0,2.0,9.0,0.0,3.7,2.1,2.8,49.0,48.0,315.0,77.0,12.0,6.0,19.0,6.0,12.0,11.0,9.0,20.0,7.0,15.0,Partidas,Total do time,,,26.5,38.0,38.0,3.42,38.0,56.0,147.0,186.0,130.0,720.0,17.0,11.0,10.0,8.0,211.0,5.0,4.0,1.0,0.0,200.0,,Manuel Locatelli,it ITA,LT,22.0,32.0,81.0,47.0,43.0,28.0,10.0,29.0,56.0,518.0,27.0,35.0,15.0,20.0,51.0,132.0,65.0,1.0,Partidas
Domenico Berardi,it ITA,AT,25.0,30,28,2.475,27.5,17.0,7.0,24.0,10.0,7.0,8.0,4.0,0.0,15.0,8.7,6.2,149.0,101.0,164.0,272.0,62.0,25.0,87.0,36.0,62.0,55.0,23.0,77.0,32.0,54.0,Partidas,Total de adversários,,,27.2,38.0,38.0,3.417,38.0,64.0,169.0,178.0,116.0,713.0,10.0,11.0,17.0,4.0,105.0,14.0,13.0,1.0,0.0,71.0,,Domenico Berardi,it ITA,AT,25.0,27.5,42.0,22.0,17.0,11.0,14.0,21.0,62.0,339.0,41.0,23.0,1.0,22.0,26.0,68.0,34.0,0.0,Partidas
Filip Đuričić,rs SRB,"LT,AT",28.0,32,27,2.079,23.1,5.0,4.0,9.0,4.0,1.0,1.0,5.0,0.0,6.2,5.4,5.8,112.0,87.0,96.0,163.0,22.0,17.0,39.0,17.0,35.0,27.0,25.0,52.0,23.0,48.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Filip Đuričić,rs SRB,"LT,AT",28.0,23.1,32.0,23.0,6.0,16.0,10.0,12.0,30.0,400.0,18.0,20.0,2.0,18.0,9.0,41.0,12.0,0.0,Partidas
Maxime Lopez,fr FRA,LT,22.0,29,22,1.864,20.7,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.2,1.2,1.4,26.0,45.0,150.0,42.0,10.0,0.0,10.0,10.0,10.0,6.0,7.0,13.0,6.0,13.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Maxime Lopez,fr FRA,LT,22.0,20.7,24.0,13.0,15.0,6.0,3.0,14.0,41.0,341.0,27.0,9.0,0.0,9.0,16.0,40.0,10.0,1.0,Partidas
Vlad Chiricheș,ro ROU,ZG,30.0,24,22,1.837,20.4,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.3,1.3,0.4,17.0,10.0,67.0,9.0,10.0,5.0,15.0,10.0,15.0,6.0,2.0,8.0,6.0,8.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Vlad Chiricheș,ro ROU,ZG,30.0,20.4,38.0,23.0,34.0,3.0,1.0,21.0,35.0,600.0,14.0,31.0,21.0,10.0,50.0,88.0,59.0,2.0,Partidas
Rogério,br BRA,ZG,22.0,28,21,1.877,20.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,1.5,20.0,59.0,81.0,135.0,0.0,5.0,5.0,0.0,5.0,3.0,7.0,10.0,3.0,10.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Rogério,br BRA,ZG,22.0,20.9,26.0,13.0,19.0,5.0,2.0,19.0,27.0,704.0,8.0,26.0,5.0,21.0,31.0,57.0,53.0,0.0,Partidas
Hamed Junior Traorè,ci CIV,"LT,AT",20.0,35,20,1.789,19.9,5.0,2.0,7.0,5.0,0.0,0.0,6.0,0.0,4.1,4.1,3.5,75.0,45.0,79.0,120.0,25.0,10.0,35.0,25.0,35.0,20.0,17.0,38.0,20.0,38.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Hamed Junior Traorè,ci CIV,"LT,AT",20.0,19.9,29.0,17.0,10.0,10.0,9.0,14.0,35.0,400.0,21.0,27.0,3.0,24.0,18.0,47.0,9.0,0.0,Partidas
