Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Andrea Pinamonti,it ITA,AT,24.0,38,37,3.076,34.2,11.0,1.0,12.0,9.0,2.0,3.0,4.0,0.0,8.9,6.6,1.9,84.0,17.0,45.0,165.0,32.0,3.0,35.0,26.0,29.0,26.0,5.0,32.0,19.0,25.0,Partidas,Andrea Consigli,it ITA,G,36.0,35.0,35.0,3.15,35.0,68.0,194.0,159.0,93.0,616.0,6.0,8.0,21.0,3.0,86.0,10.0,7.0,1.0,2.0,125.0,Partidas,Andrea Pinamonti,it ITA,AT,24.0,34.2,13.0,8.0,1.0,6.0,6.0,5.0,22.0,227.0,17.0,19.0,2.0,17.0,1.0,14.0,40.0,0.0,Partidas
Andrea Consigli,it ITA,G,36.0,35,35,3.15,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Alessio Cragno,it ITA,G,29.0,3.0,3.0,270.0,3.0,7.0,233.0,14.0,8.0,571.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Partidas,Andrea Consigli,it ITA,G,36.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,19.0,1.0,Partidas
Armand Lauriente,fr FRA,AT,24.0,37,35,2.908,32.3,5.0,4.0,9.0,5.0,0.0,0.0,5.0,0.0,5.7,5.7,4.0,97.0,125.0,99.0,268.0,15.0,12.0,28.0,15.0,28.0,18.0,12.0,30.0,18.0,30.0,Partidas,Total do time,,,26.4,38.0,38.0,3.42,38.0,75.0,197.0,173.0,101.0,613.0,7.0,9.0,22.0,3.0,79.0,11.0,8.0,1.0,2.0,111.0,,Armand Lauriente,fr FRA,AT,24.0,32.3,31.0,20.0,8.0,14.0,9.0,13.0,44.0,295.0,31.0,29.0,4.0,25.0,15.0,46.0,11.0,0.0,Partidas
Martin Erlic,hr CRO,ZG,25.0,32,31,2.618,29.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,10.0,19.0,78.0,11.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,Partidas,Total de adversários,,,26.6,38.0,38.0,3.42,38.0,43.0,113.0,152.0,109.0,763.0,22.0,9.0,7.0,12.0,316.0,8.0,7.0,1.0,0.0,125.0,,Martin Erlic,hr CRO,ZG,25.0,29.1,37.0,22.0,26.0,8.0,3.0,20.0,30.0,667.0,10.0,31.0,16.0,15.0,28.0,65.0,128.0,1.0,Partidas
Kristian Thorstvedt,no NOR,LT,24.0,34,30,2.397,26.6,6.0,1.0,7.0,6.0,0.0,0.0,7.0,0.0,4.4,4.4,1.6,59.0,30.0,130.0,94.0,23.0,4.0,26.0,23.0,26.0,16.0,6.0,22.0,16.0,22.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Kristian Thorstvedt,no NOR,LT,24.0,26.6,40.0,22.0,7.0,28.0,5.0,22.0,44.0,500.0,22.0,25.0,9.0,16.0,21.0,61.0,36.0,0.0,Partidas
Matheus Henrique,br BRA,LT,25.0,31,27,2.501,27.8,2.0,2.0,4.0,2.0,0.0,0.0,8.0,1.0,2.3,2.3,1.6,39.0,43.0,94.0,44.0,7.0,7.0,14.0,7.0,14.0,8.0,6.0,14.0,8.0,14.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Matheus Henrique,br BRA,LT,25.0,27.8,43.0,29.0,21.0,18.0,4.0,18.0,43.0,419.0,25.0,18.0,8.0,10.0,25.0,68.0,31.0,6.0,Partidas
Gian Marco Ferrari,it ITA,ZG,31.0,31,25,2.272,25.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,0.3,19.0,32.0,148.0,7.0,4.0,0.0,4.0,4.0,4.0,6.0,1.0,7.0,6.0,7.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Gian Marco Ferrari,it ITA,ZG,31.0,25.2,22.0,10.0,11.0,11.0,0.0,12.0,18.0,667.0,6.0,28.0,17.0,11.0,25.0,47.0,76.0,0.0,Partidas
Jeremy Toljan,de GER,ZG,28.0,25,24,2.083,23.1,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.6,21.0,35.0,79.0,85.0,0.0,22.0,22.0,0.0,22.0,2.0,7.0,9.0,2.0,9.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy Toljan,de GER,ZG,28.0,23.1,13.0,10.0,8.0,4.0,1.0,9.0,15.0,600.0,6.0,17.0,5.0,12.0,16.0,29.0,49.0,1.0,Partidas
Daniel Boloca,ro ROU,LT,24.0,30,23,2.022,22.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.5,0.5,0.4,9.0,27.0,109.0,17.0,4.0,0.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Boloca,ro ROU,LT,24.0,22.5,48.0,33.0,18.0,25.0,5.0,27.0,46.0,587.0,19.0,23.0,13.0,10.0,14.0,62.0,33.0,2.0,Partidas
