Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Emmanuel Gyasi,gh GHA,AT,26.0,37,32,2.851,31.7,4.0,6.0,10.0,4.0,0.0,0.0,4.0,0.0,5.1,5.1,4.1,92.0,70.0,69.0,250.0,13.0,19.0,32.0,13.0,32.0,16.0,13.0,29.0,16.0,29.0,Partidas,Ivan Provedel,it ITA,G,26.0,29.0,29.0,2.61,29.0,55.0,190.0,131.0,75.0,626.0,6.0,10.0,13.0,4.0,138.0,7.0,6.0,1.0,0.0,143.0,Partidas,Emmanuel Gyasi,gh GHA,AT,26.0,31.7,30.0,16.0,16.0,10.0,4.0,9.0,31.0,290.0,22.0,13.0,2.0,11.0,14.0,44.0,8.0,0.0,Partidas
Ivan Provedel,it ITA,G,26.0,29,29,2.61,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Jeroen Zoet,nl NED,G,29.0,7.0,7.0,603.0,6.7,12.0,179.0,29.0,17.0,690.0,3.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,Partidas,Ivan Provedel,it ITA,G,26.0,29.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,333.0,4.0,0.0,0.0,0.0,2.0,4.0,20.0,1.0,Partidas
Matteo Ricci,it ITA,LT,26.0,29,26,2.229,24.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.6,26.0,26.0,185.0,21.0,0.0,8.0,8.0,0.0,8.0,4.0,6.0,10.0,4.0,10.0,Partidas,Rafael,br BRA,G,38.0,3.0,2.0,207.0,2.3,5.0,217.0,18.0,13.0,722.0,0.0,1.0,1.0,1.0,500.0,0.0,0.0,0.0,0.0,,Partidas,Matteo Ricci,it ITA,LT,26.0,24.8,40.0,23.0,14.0,24.0,2.0,27.0,52.0,519.0,25.0,24.0,4.0,20.0,34.0,74.0,13.0,0.0,Partidas
Giulio Maggiore,it ITA,LT,22.0,33,26,2.214,24.6,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,4.7,4.7,1.9,66.0,38.0,77.0,94.0,12.0,4.0,16.0,12.0,16.0,19.0,8.0,27.0,19.0,27.0,Partidas,Total do time,,,25.2,38.0,38.0,3.42,38.0,72.0,189.0,178.0,105.0,646.0,9.0,12.0,17.0,5.0,132.0,10.0,9.0,1.0,0.0,100.0,,Giulio Maggiore,it ITA,LT,22.0,24.6,61.0,36.0,26.0,28.0,7.0,21.0,53.0,396.0,32.0,33.0,6.0,27.0,19.0,80.0,25.0,1.0,Partidas
Claudio Terzi,it ITA,ZG,36.0,25,22,1.869,20.8,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.4,0.4,0.5,9.0,20.0,83.0,1.0,5.0,5.0,10.0,5.0,10.0,2.0,2.0,4.0,2.0,4.0,Partidas,Total de adversários,,,27.3,38.0,38.0,3.42,38.0,52.0,137.0,135.0,82.0,644.0,17.0,12.0,9.0,8.0,211.0,5.0,4.0,1.0,0.0,200.0,,Claudio Terzi,it ITA,ZG,36.0,20.8,34.0,21.0,19.0,14.0,1.0,19.0,28.0,679.0,9.0,23.0,12.0,11.0,35.0,69.0,55.0,1.0,Partidas
M'Bala Nzola,ao ANG,AT,23.0,25,21,1.896,21.1,11.0,3.0,14.0,7.0,4.0,4.0,5.0,0.0,9.3,6.2,2.1,83.0,26.0,25.0,119.0,52.0,14.0,66.0,33.0,47.0,44.0,10.0,54.0,29.0,39.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,M'Bala Nzola,ao ANG,AT,23.0,21.1,12.0,5.0,2.0,6.0,4.0,4.0,7.0,571.0,3.0,15.0,1.0,14.0,3.0,15.0,20.0,0.0,Partidas
Martin Erlic,hr CRO,ZG,22.0,27,19,1.798,20.0,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,1.2,1.2,0.2,14.0,15.0,58.0,2.0,15.0,5.0,20.0,15.0,20.0,6.0,1.0,7.0,6.0,7.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Martin Erlic,hr CRO,ZG,22.0,20.0,23.0,14.0,16.0,6.0,1.0,11.0,20.0,550.0,9.0,22.0,16.0,6.0,41.0,64.0,71.0,2.0,Partidas
Nahuel Estévez,ar ARG,LT,24.0,27,19,1.768,19.6,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,1.9,1.9,2.8,47.0,32.0,101.0,80.0,0.0,15.0,15.0,0.0,15.0,9.0,14.0,24.0,9.0,24.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Nahuel Estévez,ar ARG,LT,24.0,19.6,13.0,5.0,4.0,6.0,3.0,5.0,32.0,156.0,27.0,23.0,5.0,18.0,20.0,33.0,22.0,1.0,Partidas
Julian Chabot,de GER,ZG,22.0,25,19,1.655,18.4,1.0,1.0,2.0,1.0,0.0,0.0,11.0,1.0,0.7,0.7,0.5,13.0,11.0,57.0,4.0,5.0,5.0,11.0,5.0,11.0,4.0,3.0,7.0,4.0,7.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Julian Chabot,de GER,ZG,22.0,18.4,48.0,34.0,28.0,16.0,4.0,23.0,37.0,622.0,14.0,25.0,13.0,12.0,37.0,85.0,43.0,1.0,Partidas
