Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Salvatore Esposito,it ITA,LT,22.0,37,34,3.12,34.7,1.0,5.0,6.0,0.0,1.0,1.0,8.0,0.0,2.4,1.6,6.1,77.0,40.0,280.0,54.0,3.0,14.0,17.0,0.0,14.0,7.0,18.0,25.0,5.0,22.0,Partidas,Jeroen Zoet,nl NED,G,32.0,25.0,25.0,2.25,25.0,29.0,116.0,100.0,71.0,740.0,8.0,11.0,6.0,7.0,280.0,4.0,3.0,1.0,0.0,250.0,Partidas,Salvatore Esposito,it ITA,LT,22.0,34.7,68.0,46.0,22.0,39.0,7.0,30.0,59.0,508.0,29.0,62.0,17.0,45.0,53.0,121.0,77.0,1.0,Partidas
Dimitris Nikolaou,gr GRE,ZG,24.0,34,34,2.95,32.8,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.5,0.5,0.3,8.0,25.0,138.0,20.0,0.0,3.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,Partidas,Bartłomiej Drągowski,pl POL,G,25.0,13.0,13.0,1.17,13.0,20.0,154.0,63.0,44.0,714.0,1.0,6.0,6.0,3.0,231.0,2.0,2.0,0.0,0.0,0.0,Partidas,Dimitris Nikolaou,gr GRE,ZG,24.0,32.8,48.0,34.0,28.0,16.0,4.0,25.0,34.0,735.0,9.0,35.0,9.0,26.0,26.0,74.0,111.0,0.0,Partidas
Jeroen Zoet,nl NED,G,32.0,25,25,2.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Total do time,,,25.4,38.0,38.0,3.42,38.0,49.0,129.0,163.0,115.0,730.0,9.0,17.0,12.0,10.0,263.0,6.0,5.0,1.0,0.0,167.0,,Jeroen Zoet,nl NED,G,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,2.0,Partidas
Salvatore Elia,it ITA,ZG,24.0,32,24,2.169,24.1,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,2.5,34.0,76.0,76.0,160.0,4.0,8.0,12.0,4.0,12.0,4.0,10.0,14.0,4.0,14.0,Partidas,Total de adversários,,,26.7,38.0,38.0,3.42,38.0,36.0,95.0,164.0,127.0,811.0,12.0,17.0,9.0,17.0,447.0,7.0,5.0,2.0,0.0,286.0,,Salvatore Elia,it ITA,ZG,24.0,24.1,60.0,42.0,37.0,15.0,8.0,34.0,60.0,567.0,26.0,38.0,2.0,36.0,31.0,91.0,44.0,0.0,Partidas
Daniele Verde,it ITA,"LT,AT",27.0,29,23,1.972,21.9,7.0,0.0,7.0,4.0,3.0,4.0,3.0,0.0,6.7,3.6,3.7,73.0,49.0,96.0,179.0,32.0,0.0,32.0,18.0,18.0,31.0,17.0,48.0,16.0,33.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Daniele Verde,it ITA,"LT,AT",27.0,21.9,3.0,3.0,2.0,1.0,0.0,1.0,6.0,167.0,5.0,8.0,0.0,8.0,11.0,14.0,7.0,0.0,Partidas
Filippo Bandinelli,it ITA,LT,28.0,33,23,1.957,21.7,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.4,1.4,2.7,41.0,63.0,133.0,100.0,0.0,5.0,5.0,0.0,5.0,6.0,12.0,19.0,6.0,19.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Filippo Bandinelli,it ITA,LT,28.0,21.7,40.0,22.0,12.0,20.0,8.0,16.0,39.0,410.0,23.0,29.0,4.0,25.0,20.0,60.0,29.0,0.0,Partidas
Francesco Cassata,it ITA,"LT,ZG",26.0,31,21,1.819,20.2,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.7,0.7,1.1,18.0,37.0,92.0,84.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,4.0,9.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Cassata,it ITA,"LT,ZG",26.0,20.2,52.0,27.0,28.0,15.0,9.0,27.0,50.0,540.0,23.0,24.0,6.0,18.0,13.0,65.0,21.0,0.0,Partidas
Kelvin Amian,fr FRA,ZG,25.0,19,19,1.71,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.4,1.4,0.3,17.0,38.0,91.0,39.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,9.0,7.0,9.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Kelvin Amian,fr FRA,ZG,25.0,19.0,42.0,30.0,32.0,9.0,1.0,16.0,21.0,762.0,5.0,26.0,15.0,11.0,23.0,65.0,52.0,1.0,Partidas
Francesco Esposito,it ITA,AT,18.0,38,17,1.786,19.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,5.7,5.4,1.8,72.0,12.0,39.0,114.0,15.0,0.0,15.0,15.0,15.0,29.0,9.0,38.0,27.0,36.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Esposito,it ITA,AT,18.0,19.8,8.0,2.0,0.0,3.0,5.0,3.0,15.0,200.0,12.0,13.0,2.0,11.0,5.0,13.0,10.0,0.0,Partidas
