Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Saša Lukić,rs SRB,LT,24.0,35,34,2.982,33.1,5.0,4.0,9.0,2.0,3.0,3.0,10.0,0.0,4.7,2.3,4.0,63.0,68.0,148.0,57.0,15.0,12.0,27.0,6.0,18.0,14.0,12.0,26.0,7.0,19.0,Partidas,Vanja Milinković-Savić,rs SRB,G,24.0,27.0,27.0,2.43,27.0,33.0,122.0,80.0,46.0,675.0,9.0,7.0,11.0,4.0,148.0,8.0,7.0,1.0,0.0,125.0,Partidas,Saša Lukić,rs SRB,LT,24.0,33.1,51.0,34.0,17.0,27.0,7.0,19.0,43.0,442.0,24.0,34.0,6.0,28.0,24.0,75.0,41.0,0.0,Partidas
Gleison Bremer,br BRA,ZG,24.0,33,33,2.89,32.1,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,4.4,4.4,0.4,48.0,18.0,64.0,6.0,9.0,3.0,12.0,9.0,12.0,14.0,1.0,15.0,14.0,15.0,Partidas,Etrit Berisha,al ALB,G,32.0,10.0,10.0,900.0,10.0,8.0,80.0,41.0,32.0,854.0,3.0,4.0,3.0,4.0,400.0,3.0,2.0,1.0,0.0,333.0,Partidas,Gleison Bremer,br BRA,ZG,24.0,32.1,49.0,24.0,27.0,22.0,0.0,18.0,28.0,643.0,10.0,54.0,23.0,31.0,105.0,154.0,137.0,0.0,Partidas
Wilfried Singo,ci CIV,ZG,20.0,35,32,2.607,29.0,3.0,4.0,7.0,3.0,0.0,0.0,5.0,1.0,2.6,2.6,2.5,52.0,69.0,89.0,157.0,10.0,14.0,24.0,10.0,24.0,9.0,9.0,18.0,9.0,18.0,Partidas,Luca Gemello,it ITA,G,21.0,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,1000.0,1.0,0.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,,Partidas,Wilfried Singo,ci CIV,ZG,20.0,29.0,55.0,35.0,24.0,24.0,7.0,24.0,34.0,706.0,10.0,26.0,6.0,20.0,23.0,78.0,47.0,0.0,Partidas
Ricardo Rodríguez,ch SUI,ZG,28.0,34,28,2.473,27.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.6,20.0,50.0,115.0,27.0,0.0,4.0,4.0,0.0,4.0,1.0,6.0,7.0,1.0,7.0,Partidas,Total do time,,,25.2,38.0,38.0,3.42,38.0,41.0,108.0,124.0,81.0,742.0,13.0,11.0,14.0,9.0,237.0,11.0,9.0,2.0,0.0,182.0,,Ricardo Rodríguez,ch SUI,ZG,28.0,27.5,36.0,21.0,11.0,23.0,2.0,18.0,33.0,545.0,15.0,22.0,8.0,14.0,41.0,77.0,48.0,1.0,Partidas
Vanja Milinković-Savić,rs SRB,G,24.0,27,27,2.43,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Total de adversários,,,26.8,38.0,38.0,3.42,38.0,46.0,121.0,148.0,105.0,730.0,14.0,11.0,13.0,12.0,316.0,6.0,6.0,0.0,0.0,0.0,,Vanja Milinković-Savić,rs SRB,G,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,Partidas
Josip Brekalo,hr CRO,LT,23.0,32,26,2.286,25.4,7.0,2.0,9.0,7.0,0.0,0.0,1.0,0.0,4.3,4.3,5.5,99.0,78.0,105.0,186.0,28.0,8.0,35.0,28.0,35.0,17.0,22.0,39.0,17.0,39.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Josip Brekalo,hr CRO,LT,23.0,25.4,9.0,5.0,5.0,1.0,3.0,3.0,21.0,143.0,18.0,16.0,1.0,15.0,4.0,13.0,7.0,1.0,Partidas
Tommaso Pobega,it ITA,LT,22.0,33,24,2.24,24.9,4.0,2.0,6.0,4.0,0.0,0.0,11.0,0.0,3.2,3.2,2.0,52.0,33.0,128.0,62.0,16.0,8.0,24.0,16.0,24.0,13.0,8.0,21.0,13.0,21.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Tommaso Pobega,it ITA,LT,22.0,24.9,48.0,30.0,17.0,20.0,11.0,21.0,40.0,525.0,19.0,32.0,3.0,29.0,25.0,73.0,38.0,0.0,Partidas
Mërgim Vojvoda,xk KVX,ZG,26.0,29,22,1.976,22.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,2.3,35.0,44.0,114.0,87.0,0.0,14.0,14.0,0.0,14.0,5.0,10.0,16.0,5.0,16.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Mërgim Vojvoda,xk KVX,ZG,26.0,22.0,38.0,23.0,23.0,11.0,4.0,20.0,36.0,556.0,16.0,27.0,8.0,19.0,20.0,58.0,51.0,0.0,Partidas
Antonio Sanabria,py PAR,AT,25.0,29,22,1.803,20.0,6.0,1.0,7.0,6.0,0.0,0.0,3.0,0.0,8.3,8.3,1.8,101.0,11.0,24.0,123.0,30.0,5.0,35.0,30.0,35.0,41.0,9.0,50.0,41.0,50.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Sanabria,py PAR,AT,25.0,20.0,3.0,2.0,0.0,1.0,2.0,1.0,4.0,250.0,3.0,11.0,4.0,7.0,2.0,5.0,10.0,0.0,Partidas
