Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Vanja Milinković-Savić,rs SRB,G,25.0,38,38,3.42,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Partidas,Vanja Milinković-Savić,rs SRB,G,25.0,38.0,38.0,3.42,38.0,41.0,108.0,136.0,95.0,735.0,14.0,11.0,13.0,11.0,289.0,6.0,5.0,0.0,1.0,0.0,Partidas,Vanja Milinković-Savić,rs SRB,G,25.0,38.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1000.0,0.0,0.0,0.0,0.0,1.0,3.0,19.0,1.0,Partidas
Alessandro Buongiorno,it ITA,ZG,23.0,34,30,2.721,30.2,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,2.2,2.2,1.3,36.0,13.0,81.0,19.0,3.0,7.0,10.0,3.0,10.0,7.0,4.0,12.0,7.0,12.0,Partidas,Total do time,,,25.2,38.0,38.0,3.42,38.0,41.0,108.0,136.0,95.0,735.0,14.0,11.0,13.0,11.0,289.0,6.0,5.0,0.0,1.0,0.0,,Alessandro Buongiorno,it ITA,ZG,23.0,30.2,38.0,25.0,22.0,16.0,0.0,16.0,31.0,516.0,15.0,38.0,19.0,19.0,60.0,98.0,105.0,2.0,Partidas
Ricardo Rodríguez,ch SUI,ZG,29.0,35,30,2.67,29.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.9,24.0,49.0,133.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,1.0,8.0,Partidas,Total de adversários,,,26.6,38.0,38.0,3.42,38.0,42.0,111.0,148.0,107.0,730.0,13.0,11.0,14.0,9.0,237.0,2.0,2.0,0.0,0.0,0.0,,Ricardo Rodríguez,ch SUI,ZG,29.0,29.7,54.0,33.0,30.0,17.0,7.0,28.0,42.0,667.0,14.0,30.0,15.0,15.0,38.0,92.0,61.0,0.0,Partidas
Nikola Vlašić,hr CRO,"LT,AT",24.0,34,29,2.728,30.3,5.0,6.0,11.0,5.0,0.0,0.0,1.0,0.0,4.3,4.3,4.1,84.0,85.0,106.0,210.0,16.0,20.0,36.0,16.0,36.0,14.0,14.0,28.0,14.0,28.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Vlašić,hr CRO,"LT,AT",24.0,30.3,32.0,21.0,9.0,16.0,7.0,15.0,34.0,441.0,19.0,25.0,2.0,23.0,10.0,42.0,14.0,0.0,Partidas
Antonio Sanabria,py PAR,AT,26.0,33,28,2.433,27.0,12.0,4.0,16.0,11.0,1.0,1.0,4.0,0.0,9.3,8.5,3.0,115.0,17.0,46.0,139.0,44.0,15.0,59.0,41.0,55.0,34.0,11.0,45.0,32.0,42.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Sanabria,py PAR,AT,26.0,27.0,11.0,5.0,3.0,3.0,5.0,1.0,7.0,143.0,6.0,9.0,2.0,7.0,4.0,15.0,7.0,0.0,Partidas
Perr Schuurs,nl NED,ZG,22.0,30,28,2.326,25.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,0.9,18.0,14.0,56.0,2.0,0.0,8.0,8.0,0.0,8.0,4.0,3.0,7.0,4.0,7.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Perr Schuurs,nl NED,ZG,22.0,25.8,51.0,25.0,29.0,17.0,5.0,14.0,26.0,538.0,12.0,28.0,16.0,12.0,28.0,79.0,102.0,0.0,Partidas
Koffi Djidji,ci CIV,ZG,29.0,34,26,2.424,26.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.1,11.0,11.0,83.0,13.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Koffi Djidji,ci CIV,ZG,29.0,26.9,50.0,25.0,32.0,17.0,1.0,18.0,32.0,563.0,14.0,29.0,14.0,15.0,34.0,84.0,72.0,0.0,Partidas
Aleksei Miranchuk,ru RUS,LT,26.0,29,24,2.089,23.2,4.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0,2.9,2.9,4.2,71.0,47.0,99.0,105.0,17.0,22.0,39.0,17.0,39.0,12.0,18.0,30.0,12.0,30.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Aleksei Miranchuk,ru RUS,LT,26.0,23.2,11.0,5.0,3.0,4.0,4.0,3.0,11.0,273.0,8.0,11.0,0.0,11.0,2.0,13.0,5.0,0.0,Partidas
Wilfried Singo,ci CIV,ZG,21.0,31,24,2.046,22.7,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,2.7,2.7,1.9,46.0,54.0,67.0,93.0,9.0,4.0,13.0,9.0,13.0,12.0,8.0,20.0,12.0,20.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Wilfried Singo,ci CIV,ZG,21.0,22.7,27.0,17.0,14.0,10.0,3.0,12.0,19.0,632.0,7.0,15.0,2.0,13.0,12.0,39.0,33.0,1.0,Partidas
