Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Rodrigo De Paul,ar ARG,LT,26.0,36,36,3.201,35.6,9.0,9.0,18.0,6.0,3.0,3.0,5.0,2.0,6.2,3.8,11.2,151.0,167.0,308.0,135.0,25.0,25.0,51.0,17.0,42.0,17.0,32.0,49.0,11.0,42.0,Partidas,Juan Musso,ar ARG,G,26.0,35.0,35.0,3.147,35.0,51.0,146.0,149.0,98.0,745.0,9.0,10.0,16.0,8.0,229.0,13.0,13.0,0.0,0.0,0.0,Partidas,Rodrigo De Paul,ar ARG,LT,26.0,35.6,41.0,24.0,17.0,22.0,2.0,15.0,60.0,250.0,45.0,32.0,1.0,31.0,17.0,58.0,20.0,1.0,Partidas
Juan Musso,ar ARG,G,26.0,35,35,3.147,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Nícolas Andrade,br BRA,G,32.0,2.0,2.0,180.0,2.0,5.0,250.0,6.0,1.0,167.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Partidas,Juan Musso,ar ARG,G,26.0,35.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,Partidas
Roberto Pereyra,ar ARG,"LT,AT",29.0,34,34,2.925,32.5,5.0,7.0,12.0,4.0,1.0,1.0,8.0,0.0,4.0,3.2,4.0,72.0,106.0,134.0,193.0,15.0,22.0,37.0,12.0,34.0,12.0,12.0,24.0,10.0,22.0,Partidas,Simone Scuffet,it ITA,G,24.0,1.0,1.0,90.0,1.0,2.0,200.0,4.0,2.0,750.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Partidas,Roberto Pereyra,ar ARG,"LT,AT",29.0,32.5,18.0,11.0,7.0,8.0,3.0,7.0,23.0,304.0,16.0,24.0,5.0,19.0,27.0,45.0,24.0,0.0,Partidas
Rodrigo Becão,br BRA,ZG,24.0,35,32,2.78,30.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.3,17.0,22.0,98.0,22.0,3.0,0.0,3.0,3.0,3.0,4.0,1.0,5.0,4.0,5.0,Partidas,Manuel Gasparini,it ITA,G,18.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Partidas,Rodrigo Becão,br BRA,ZG,24.0,30.9,59.0,33.0,36.0,20.0,3.0,27.0,49.0,551.0,22.0,48.0,27.0,21.0,68.0,127.0,94.0,2.0,Partidas
Jens Stryger Larsen,dk DEN,ZG,29.0,33,30,2.638,29.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3,43.0,43.0,107.0,113.0,7.0,0.0,7.0,7.0,7.0,10.0,4.0,15.0,10.0,15.0,Partidas,Total do time,,,27.2,38.0,38.0,3.42,38.0,58.0,153.0,159.0,101.0,723.0,10.0,10.0,18.0,8.0,211.0,14.0,14.0,0.0,0.0,0.0,,Jens Stryger Larsen,dk DEN,ZG,29.0,29.3,17.0,11.0,14.0,3.0,0.0,8.0,25.0,320.0,17.0,26.0,11.0,15.0,24.0,41.0,65.0,0.0,Partidas
Kevin Bonifazi,it ITA,ZG,24.0,30,28,2.469,27.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.4,1.4,0.2,16.0,15.0,58.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,5.0,6.0,Partidas,Total de adversários,,,27.1,38.0,38.0,3.419,38.0,42.0,111.0,129.0,89.0,705.0,18.0,10.0,10.0,12.0,316.0,4.0,4.0,0.0,0.0,0.0,,Kevin Bonifazi,it ITA,ZG,24.0,27.4,32.0,21.0,24.0,6.0,2.0,8.0,23.0,348.0,15.0,33.0,20.0,13.0,50.0,82.0,85.0,1.0,Partidas
Tolgay Arslan,de GER,LT,29.0,30,25,1.818,20.2,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,0.9,0.9,0.4,13.0,48.0,80.0,37.0,15.0,0.0,15.0,15.0,15.0,4.0,2.0,7.0,4.0,7.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Tolgay Arslan,de GER,LT,29.0,20.2,52.0,32.0,24.0,24.0,4.0,25.0,54.0,463.0,29.0,22.0,2.0,20.0,22.0,74.0,15.0,1.0,Partidas
Samir Santos,br BRA,ZG,25.0,30,24,2.216,24.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,0.6,20.0,24.0,88.0,23.0,4.0,0.0,4.0,4.0,4.0,5.0,3.0,8.0,5.0,8.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Samir Santos,br BRA,ZG,25.0,24.6,40.0,23.0,26.0,12.0,2.0,13.0,29.0,448.0,16.0,33.0,17.0,16.0,58.0,98.0,60.0,1.0,Partidas
Walace,br BRA,LT,25.0,30,23,2.055,22.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.3,10.0,17.0,95.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Walace,br BRA,LT,25.0,22.8,50.0,23.0,28.0,19.0,3.0,21.0,60.0,350.0,39.0,36.0,3.0,33.0,34.0,84.0,23.0,0.0,Partidas
