Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Marco Silvestri,it ITA,G,31.0,38,38,3.42,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Marco Silvestri,it ITA,G,31.0,38.0,38.0,3.42,38.0,48.0,126.0,137.0,91.0,693.0,11.0,13.0,14.0,10.0,263.0,7.0,6.0,0.0,1.0,0.0,Partidas,Marco Silvestri,it ITA,G,31.0,38.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,667.0,1.0,0.0,0.0,0.0,1.0,3.0,15.0,1.0,Partidas
Walace,br BRA,LT,27.0,37,37,3.19,35.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.1,1.1,1.7,28.0,47.0,170.0,36.0,0.0,3.0,3.0,0.0,3.0,3.0,5.0,8.0,3.0,8.0,Partidas,Total do time,,,26.1,38.0,38.0,3.42,38.0,48.0,126.0,137.0,91.0,693.0,11.0,13.0,14.0,10.0,263.0,7.0,6.0,0.0,1.0,0.0,,Walace,br BRA,LT,27.0,35.4,82.0,39.0,42.0,31.0,9.0,41.0,90.0,456.0,49.0,47.0,12.0,35.0,51.0,133.0,51.0,1.0,Partidas
Roberto Pereyra,ar ARG,"ZG,LT",31.0,34,33,2.82,31.3,5.0,7.0,12.0,5.0,0.0,1.0,7.0,0.0,4.7,3.9,5.5,95.0,66.0,143.0,186.0,16.0,22.0,38.0,16.0,38.0,15.0,18.0,33.0,13.0,30.0,Partidas,Total de adversários,,,26.8,38.0,38.0,3.42,38.0,47.0,124.0,147.0,100.0,687.0,14.0,13.0,11.0,12.0,316.0,2.0,1.0,1.0,0.0,500.0,,Roberto Pereyra,ar ARG,"ZG,LT",31.0,31.3,36.0,20.0,21.0,12.0,3.0,16.0,44.0,364.0,28.0,20.0,5.0,15.0,16.0,52.0,28.0,0.0,Partidas
Nehuén Pérez,ar ARG,ZG,22.0,34,33,2.818,31.3,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,1.0,1.0,0.5,15.0,23.0,101.0,26.0,6.0,0.0,6.0,6.0,6.0,3.0,2.0,5.0,3.0,5.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Nehuén Pérez,ar ARG,ZG,22.0,31.3,77.0,40.0,54.0,20.0,3.0,39.0,55.0,709.0,16.0,53.0,23.0,30.0,35.0,112.0,106.0,1.0,Partidas
Jaka Bijol,si SVN,ZG,23.0,32,32,2.728,30.3,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,2.2,2.2,1.6,39.0,3.0,66.0,7.0,10.0,7.0,16.0,10.0,16.0,7.0,5.0,13.0,7.0,13.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Jaka Bijol,si SVN,ZG,23.0,30.3,39.0,23.0,32.0,7.0,0.0,16.0,27.0,593.0,11.0,41.0,25.0,16.0,29.0,68.0,165.0,0.0,Partidas
Destiny Udogie,it ITA,ZG,19.0,33,31,2.704,30.0,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,2.9,2.9,4.2,71.0,109.0,106.0,155.0,10.0,13.0,23.0,10.0,23.0,10.0,14.0,24.0,10.0,24.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Destiny Udogie,it ITA,ZG,19.0,30.0,71.0,45.0,42.0,24.0,5.0,34.0,59.0,576.0,25.0,34.0,6.0,28.0,36.0,107.0,25.0,0.0,Partidas
Rodrigo Becão,br BRA,ZG,26.0,28,28,2.484,27.6,2.0,1.0,3.0,2.0,0.0,0.0,11.0,1.0,1.5,1.5,0.6,21.0,19.0,98.0,48.0,7.0,4.0,11.0,7.0,11.0,5.0,2.0,8.0,5.0,8.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Rodrigo Becão,br BRA,ZG,26.0,27.6,70.0,36.0,50.0,17.0,3.0,40.0,53.0,755.0,13.0,44.0,24.0,20.0,26.0,96.0,68.0,2.0,Partidas
Sandi Lovrić,si SVN,LT,24.0,37,28,2.335,25.9,5.0,6.0,11.0,5.0,0.0,0.0,4.0,0.0,4.8,4.8,3.2,80.0,42.0,105.0,90.0,19.0,23.0,42.0,19.0,42.0,18.0,12.0,31.0,18.0,31.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Sandi Lovrić,si SVN,LT,24.0,25.9,40.0,18.0,16.0,16.0,8.0,25.0,43.0,581.0,18.0,25.0,2.0,23.0,26.0,66.0,21.0,0.0,Partidas
Beto,gw GNB,AT,24.0,33,23,2.129,23.7,10.0,1.0,11.0,9.0,1.0,1.0,2.0,0.0,10.9,10.1,2.6,126.0,25.0,13.0,121.0,42.0,4.0,47.0,38.0,42.0,46.0,11.0,57.0,43.0,53.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Beto,gw GNB,AT,24.0,23.7,16.0,9.0,0.0,9.0,7.0,4.0,17.0,235.0,13.0,18.0,3.0,15.0,6.0,22.0,30.0,0.0,Partidas
Isaac Success,ng NGA,AT,26.0,30,21,1.815,20.2,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,3.3,3.3,4.0,73.0,37.0,53.0,200.0,5.0,30.0,35.0,5.0,35.0,17.0,20.0,36.0,17.0,36.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Isaac Success,ng NGA,AT,26.0,20.2,8.0,4.0,2.0,5.0,1.0,3.0,8.0,375.0,5.0,13.0,2.0,11.0,4.0,12.0,18.0,0.0,Partidas
Lazar Samardzic,rs SRB,LT,20.0,37,19,1.848,20.5,5.0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,2.4,2.4,3.7,61.0,34.0,100.0,65.0,24.0,19.0,44.0,24.0,44.0,12.0,18.0,30.0,12.0,30.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Lazar Samardzic,rs SRB,LT,20.0,20.5,33.0,16.0,9.0,20.0,4.0,17.0,43.0,395.0,26.0,13.0,0.0,13.0,11.0,44.0,16.0,0.0,Partidas
Kingsley Ehizibue,nl NED,ZG,27.0,27,16,1.535,17.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,0.9,30.0,29.0,40.0,69.0,12.0,0.0,12.0,12.0,12.0,12.0,6.0,17.0,12.0,17.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Kingsley Ehizibue,nl NED,ZG,27.0,17.1,47.0,31.0,28.0,13.0,6.0,29.0,45.0,644.0,16.0,21.0,3.0,18.0,10.0,57.0,42.0,1.0,Partidas
