Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Pietro Ceccaroni,it ITA,ZG,24.0,37,37,3.33,37.0,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,1.7,1.7,2.0,37.0,48.0,131.0,6.0,8.0,5.0,14.0,8.0,14.0,5.0,5.0,10.0,5.0,10.0,Partidas,Luca Lezzerini,it ITA,G,25.0,21.0,21.0,1.824,20.3,18.0,89.0,67.0,49.0,746.0,8.0,8.0,5.0,9.0,429.0,1.0,1.0,0.0,0.0,0.0,Partidas,Pietro Ceccaroni,it ITA,ZG,24.0,37.0,21.0,12.0,17.0,4.0,0.0,8.0,13.0,615.0,5.0,47.0,31.0,16.0,47.0,68.0,176.0,1.0,Partidas
Pasquale Mazzocchi,it ITA,ZG,25.0,34,30,2.733,30.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.6,0.6,2.3,29.0,123.0,111.0,117.0,3.0,3.0,7.0,3.0,7.0,2.0,8.0,10.0,2.0,10.0,Partidas,Alberto Pomini,it ITA,G,39.0,12.0,11.0,1.056,11.7,15.0,128.0,41.0,26.0,683.0,5.0,3.0,3.0,1.0,91.0,3.0,2.0,0.0,1.0,0.0,Partidas,Pasquale Mazzocchi,it ITA,ZG,25.0,30.4,54.0,31.0,27.0,17.0,10.0,18.0,42.0,429.0,24.0,27.0,6.0,21.0,38.0,92.0,67.0,0.0,Partidas
Luca Fiordilino,it ITA,LT,24.0,37,30,2.669,29.7,4.0,1.0,5.0,4.0,0.0,0.0,9.0,0.0,4.3,4.3,2.3,65.0,32.0,181.0,51.0,13.0,3.0,17.0,13.0,17.0,14.0,8.0,22.0,14.0,22.0,Partidas,Niki Mäenpää,fi FIN,G,35.0,6.0,6.0,540.0,6.0,6.0,100.0,20.0,14.0,750.0,2.0,3.0,1.0,2.0,333.0,1.0,1.0,0.0,0.0,0.0,Partidas,Luca Fiordilino,it ITA,LT,24.0,29.7,43.0,20.0,18.0,13.0,12.0,18.0,43.0,419.0,25.0,47.0,7.0,40.0,53.0,96.0,34.0,1.0,Partidas
Francesco Forte,it ITA,AT,27.0,33,30,2.56,28.4,14.0,1.0,15.0,12.0,2.0,2.0,3.0,0.0,13.1,11.5,1.8,134.0,26.0,42.0,127.0,49.0,4.0,53.0,42.0,46.0,46.0,6.0,53.0,41.0,47.0,Partidas,Total do time,,,26.1,38.0,38.0,3.42,38.0,39.0,103.0,128.0,89.0,727.0,15.0,14.0,9.0,12.0,316.0,5.0,4.0,0.0,1.0,0.0,,Francesco Forte,it ITA,AT,27.0,28.4,10.0,6.0,2.0,4.0,4.0,3.0,16.0,188.0,13.0,9.0,2.0,7.0,1.0,11.0,15.0,0.0,Partidas
Mattia Aramu,it ITA,"LT,AT",25.0,34,30,2.437,27.1,9.0,6.0,15.0,6.0,3.0,3.0,5.0,0.0,8.4,6.0,6.1,122.0,47.0,69.0,166.0,33.0,22.0,55.0,22.0,44.0,31.0,23.0,54.0,22.0,45.0,Partidas,Total de adversários,,,26.7,38.0,38.0,3.418,38.0,53.0,140.0,195.0,145.0,754.0,9.0,14.0,15.0,10.0,263.0,5.0,5.0,0.0,0.0,0.0,,Mattia Aramu,it ITA,"LT,AT",25.0,27.1,19.0,13.0,6.0,10.0,3.0,8.0,29.0,276.0,21.0,17.0,3.0,14.0,13.0,32.0,9.0,0.0,Partidas
Youssef Maleh,ma MAR,LT,21.0,29,27,2.303,25.6,4.0,4.0,8.0,4.0,0.0,0.0,8.0,0.0,4.1,4.1,3.4,75.0,57.0,100.0,102.0,16.0,16.0,31.0,16.0,31.0,16.0,13.0,29.0,16.0,29.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Youssef Maleh,ma MAR,LT,21.0,25.6,45.0,28.0,18.0,21.0,6.0,12.0,26.0,462.0,14.0,42.0,5.0,37.0,24.0,69.0,26.0,0.0,Partidas
Marco Modolo,it ITA,ZG,31.0,27,26,2.224,24.7,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.9,1.9,0.6,26.0,19.0,42.0,3.0,4.0,0.0,4.0,4.0,4.0,8.0,2.0,10.0,8.0,10.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Marco Modolo,it ITA,ZG,31.0,24.7,19.0,12.0,14.0,4.0,1.0,13.0,18.0,722.0,5.0,18.0,15.0,3.0,25.0,44.0,121.0,0.0,Partidas
Luca Lezzerini,it ITA,G,25.0,21,21,1.824,20.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Luca Lezzerini,it ITA,G,25.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,Partidas
Dennis Johnsen,no NOR,"AT,LT",22.0,32,20,1.841,20.5,3.0,3.0,6.0,3.0,0.0,0.0,4.0,2.0,7.0,7.0,2.8,97.0,72.0,40.0,174.0,15.0,15.0,29.0,15.0,29.0,34.0,14.0,48.0,34.0,48.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Dennis Johnsen,no NOR,"AT,LT",22.0,20.5,16.0,11.0,5.0,7.0,4.0,8.0,28.0,286.0,20.0,14.0,1.0,13.0,8.0,24.0,7.0,0.0,Partidas
