Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Joel Pohjanpalo,fi FIN,AT,27.0,37,35,2.886,32.1,19.0,7.0,26.0,16.0,3.0,4.0,2.0,0.0,16.7,13.5,4.2,177.0,24.0,52.0,149.0,59.0,22.0,81.0,50.0,72.0,52.0,13.0,65.0,42.0,55.0,Partidas,Jesse Joronen,fi FIN,G,29.0,34.0,34.0,3.049,33.9,44.0,130.0,138.0,95.0,732.0,12.0,8.0,14.0,5.0,147.0,8.0,7.0,1.0,0.0,125.0,Partidas,Joel Pohjanpalo,fi FIN,AT,27.0,32.1,9.0,6.0,2.0,5.0,2.0,4.0,8.0,500.0,4.0,13.0,8.0,5.0,3.0,12.0,31.0,0.0,Partidas
Jesse Joronen,fi FIN,G,29.0,34,34,3.049,33.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Bruno,br BRA,G,24.0,3.0,2.0,188.0,2.1,4.0,191.0,13.0,9.0,846.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Partidas,Jesse Joronen,fi FIN,G,29.0,33.9,1.0,1.0,1.0,0.0,0.0,1.0,3.0,333.0,2.0,1.0,0.0,1.0,0.0,1.0,18.0,0.0,Partidas
Francesco Zampano,it ITA,ZG,28.0,33,32,2.797,31.1,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,5.4,64.0,113.0,133.0,217.0,3.0,10.0,13.0,3.0,13.0,3.0,17.0,21.0,3.0,21.0,Partidas,Niki Mäenpää,fi FIN,G,37.0,2.0,2.0,180.0,2.0,2.0,100.0,5.0,3.0,600.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Partidas,Francesco Zampano,it ITA,ZG,28.0,31.1,50.0,31.0,36.0,11.0,3.0,20.0,40.0,500.0,20.0,39.0,6.0,33.0,29.0,79.0,45.0,2.0,Partidas
Tanner Tessmann,us USA,LT,20.0,32,27,2.436,27.1,3.0,2.0,5.0,3.0,0.0,0.0,7.0,1.0,2.5,2.5,2.3,48.0,33.0,146.0,61.0,11.0,7.0,18.0,11.0,18.0,9.0,9.0,18.0,9.0,18.0,Partidas,Total do time,,,25.7,38.0,38.0,3.417,38.0,50.0,132.0,156.0,107.0,737.0,13.0,10.0,15.0,5.0,132.0,10.0,9.0,1.0,0.0,100.0,,Tanner Tessmann,us USA,LT,20.0,27.1,53.0,25.0,21.0,24.0,8.0,26.0,48.0,542.0,22.0,23.0,5.0,18.0,22.0,75.0,51.0,1.0,Partidas
Antonio Candela,it ITA,ZG,22.0,29,25,2.037,22.6,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,2.3,36.0,64.0,60.0,169.0,9.0,13.0,22.0,9.0,22.0,6.0,10.0,16.0,6.0,16.0,Partidas,Total de adversários,,,26.9,38.0,38.0,3.42,38.0,51.0,134.0,152.0,101.0,684.0,15.0,10.0,13.0,10.0,263.0,4.0,3.0,1.0,0.0,250.0,,Antonio Candela,it ITA,ZG,22.0,22.6,30.0,18.0,17.0,7.0,6.0,8.0,23.0,348.0,15.0,28.0,3.0,25.0,8.0,38.0,39.0,0.0,Partidas
Luca Ceppitelli,it ITA,ZG,32.0,22,21,1.779,19.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.6,1.6,0.7,24.0,9.0,71.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,12.0,8.0,12.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Luca Ceppitelli,it ITA,ZG,32.0,19.8,31.0,18.0,17.0,13.0,1.0,12.0,21.0,571.0,9.0,23.0,9.0,14.0,39.0,70.0,94.0,1.0,Partidas
Pietro Ceccaroni,it ITA,ZG,26.0,20,20,1.785,19.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,0.4,18.0,44.0,121.0,19.0,5.0,0.0,5.0,5.0,5.0,7.0,2.0,9.0,7.0,9.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Pietro Ceccaroni,it ITA,ZG,26.0,19.8,24.0,10.0,16.0,5.0,3.0,14.0,20.0,700.0,6.0,23.0,16.0,7.0,19.0,43.0,75.0,0.0,Partidas
Dennis Johnsen,no NOR,"AT,ZG",24.0,33,19,1.757,19.5,3.0,5.0,8.0,3.0,0.0,0.0,4.0,0.0,3.8,3.8,4.8,87.0,51.0,59.0,167.0,15.0,26.0,41.0,15.0,41.0,20.0,25.0,44.0,20.0,44.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Dennis Johnsen,no NOR,"AT,ZG",24.0,19.5,16.0,8.0,8.0,4.0,4.0,6.0,22.0,273.0,16.0,20.0,4.0,16.0,7.0,23.0,5.0,0.0,Partidas
Przemysław Wiśniewski,pl POL,ZG,24.0,19,18,1.621,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.2,5.0,16.0,74.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Przemysław Wiśniewski,pl POL,ZG,24.0,18.0,28.0,23.0,20.0,6.0,2.0,20.0,28.0,714.0,8.0,30.0,12.0,18.0,31.0,59.0,70.0,0.0,Partidas
